# Result of 'intser'
# Date/time = Wed Jan 08 09:07:32 CET 2025
# Data set list (full path) = /var/folders/h2/fptkkjmd6sd3pk78km2njjrm0000gn/T/topspin-dataset-list-891458870419384948.txt
# Region to calibrate = 5
# Value of region to calibrate = 1.0
# Global scaling = no

# --- Integral info --- 
# A 1.0 #regions in PPM
# # low field   high field  bias        slope
#   8.205  8.184  -0.0  -0.0  # for region 1
#   8.146  8.1  -0.0  -0.0  # for region 2
#   7.967  7.924  -0.0  -0.0  # for region 3
#   7.9  7.867  -0.0  -0.0  # for region 4
#   1.947  1.894  -0.0  -0.0  # for region 5
#   0.253  -0.132  -0.0  -0.0  # for region 6

# Spectrum#; Integral 0; Integral 1; Integral 2; Integral 3; Integral 4; Integral 5;
0;0.0037743862420464317;0.10278350104889816;0.10813976873017606;0.20088890441411827;0.03550906325380981;1.0;
1;0.0014950431455289762;0.04358229085223992;0.046365218248245535;0.04131980925910147;0.07209854844419758;1.0;
2;8.520103326115226E-4;0.08123361982635029;0.0866245746839789;0.12609910907862773;0.08623842487803321;1.0;
3;0.00396054304876385;0.13664184312825614;0.14588769763424767;0.4010251631624943;0.035283135100555106;1.0;
4;0.0024434897781097087;0.0808122899688974;0.08492584853091939;0.09309259251324963;0.07417393892741503;1.0;
5;6.256298696577132E-4;0.1112751530299478;0.11842417097199393;0.23686469247484024;0.0861822334894889;1.0;
6;0.0022667001551730744;0.11876117184952019;0.12673704196745025;0.7736169309922074;0.026252156095222724;1.0;
7;0.0017269152284814556;0.1509291870339657;0.1585896760186099;0.3103005801996756;0.03877641902815075;1.0;
8;-2.44018189239502E-4;0.1316490858240843;0.13924768136722124;0.5226429899345783;0.046610939565483275;1.0;
