# Result of 'intser'
# Date/time = Tue Jan 28 13:39:26 CET 2025
# Data set list (full path) = /var/folders/h2/fptkkjmd6sd3pk78km2njjrm0000gn/T/topspin-dataset-list-17435026494311446944.txt
# Region to calibrate = 5
# Value of region to calibrate = 1.0
# Global scaling = no

# --- Integral info --- 
# A 1.0 #regions in PPM
# # low field   high field  bias        slope
#   8.205  8.184  -0.0  -0.0  # for region 1
#   8.146  8.1  -0.0  -0.0  # for region 2
#   7.967  7.924  -0.0  -0.0  # for region 3
#   7.9  7.867  -0.0  -0.0  # for region 4
#   1.947  1.894  -0.0  -0.0  # for region 5
#   0.253  -0.132  -0.0  -0.0  # for region 6

# Spectrum#; Integral 0; Integral 1; Integral 2; Integral 3; Integral 4; Integral 5;
0;6.037618163047773E-4;0.0011280652772685546;0.0023413021355399425;0.0014407419559897318;0.004791689782352962;1.0;
1;5.114206660498734E-4;5.864366288337829E-4;7.607684723072846E-4;6.657649322613292E-4;0.0023650147900079487;1.0;
2;3.461575620037511E-4;2.70468816064189E-4;1.839804667136616E-4;3.3451313955151074E-4;0.004581583903769817;1.0;
3;4.1768406769531846E-4;3.474640741541015E-4;8.883688622171042E-4;3.7709313497641265E-4;0.003749598629189215;1.0;
4;5.238140742244221E-4;7.181428473669603E-4;0.00103154500226981;0.0011457062901232243;0.002284826148954082;1.0;
5;2.3704423492175696E-4;4.901629233657156E-4;3.8737221518852014E-4;4.0247015831524914E-4;0.0014464357070817853;1.0;
6;4.4639267819396696E-4;0.00279848511987506;0.003722866475778266;0.002063014011716848;0.008472388115519527;1.0;
7;4.034772272901897E-4;0.0028554453186490913;0.003337374457283192;0.0017881009306614116;0.007264330820498992;1.0;
8;3.6109562690483737E-4;0.001298314634754295;0.0015960099215943245;0.001133326019099511;0.010943977919450676;1.0;
9;1.491959882755957E-4;9.331293720480782E-4;0.0016961765761940623;5.356141509886378E-4;0.010051375821364929;1.0;
10;6.623547157020379E-4;0.002525501136962194;0.002604174264951173;0.001766551146074645;0.0051781357898581255;1.0;
11;3.122057298865592E-4;0.003066317450460739;0.0030989631602768657;0.0025301408488945837;0.004473135286397426;1.0;
12;8.964072654581965E-4;0.0057473317442822795;0.006382712796236763;0.0038022950518352104;0.009035891658303586;1.0;
13;2.713603532706793E-4;0.006327155035878894;0.006764924568418063;0.0042908665096030646;0.00730420066443857;1.0;
14;5.665626862473004E-4;0.003651920544735295;0.0038675914625552477;0.0021535127547411253;0.010645337665723429;1.0;
15;2.2853637626585858E-4;0.0040910049908713855;0.004903027687300644;0.0030251374156742518;0.010023815643172349;1.0;
16;5.912120231742625E-4;0.005033893863021255;0.005270627798666843;0.0042038478966098395;0.00496070101287638;1.0;
17;6.329238270386632E-4;0.006388788053040343;0.006770399502003206;0.00587472971804136;0.004200429356222221;1.0;
18;0.0011275052270885559;0.026804645693741358;0.028374361089764398;0.018770401517672144;0.008738924950362374;1.0;
19;0.0013770937721150464;0.03584872729600178;0.03685712934015904;0.025022031628666758;0.006749696679495755;1.0;
20;8.266232658662609E-4;0.018626354881289556;0.019355684589121028;0.012472689345596418;0.011133567022907544;1.0;
21;0.001080801800512373;0.028070385178834062;0.02901606946618109;0.018904799662873225;0.01075304498628623;1.0;
22;9.354645857190696E-4;0.016813449975703828;0.017281415784435986;0.01843208523236786;0.005276844427223642;1.0;
23;7.720275594830837E-4;0.023519161886427362;0.023489394213649217;0.026624946680071718;0.004629963789432618;1.0;
24;0.0010106947945458641;0.03680467855085637;0.03840608616270237;0.02647317370442377;0.008890565876938174;1.0;
25;0.0014628989889468077;0.05186936556005466;0.05328900392719991;0.036673565714854625;0.0073097652975898505;1.0;
26;0.001192741598387517;0.027387927862170588;0.028049246597707175;0.018341086093853994;0.011658390994435488;1.0;
27;0.0014577175926407742;0.04408742023257049;0.04523429418834547;0.03026211973817588;0.01107681525454589;1.0;
28;7.589636492914149E-4;0.02054908208774775;0.0215341162986734;0.023902651336365526;0.004566613116482617;1.0;
29;0.001138577711161311;0.030995206884731355;0.03195258094722334;0.03773856728444744;0.004644845831070465;1.0;
30;0.0012118217898866356;0.04664145282861196;0.049202812608746864;0.033961520187278424;0.008572685425951498;1.0;
