# Result of 'intser'
# Date/time = Thu Mar 13 09:44:46 CET 2025
# Data set list (full path) = /var/folders/h2/fptkkjmd6sd3pk78km2njjrm0000gn/T/topspin-dataset-list-17413527081455904753.txt
# Region to calibrate = 5
# Value of region to calibrate = 1.0
# Global scaling = no

# --- Integral info --- 
# A 1.0 #regions in PPM
# # low field   high field  bias        slope
#   8.205  8.184  -0.0  -0.0  # for region 1
#   8.146  8.1  -0.0  -0.0  # for region 2
#   7.967  7.924  -0.0  -0.0  # for region 3
#   7.9  7.867  -0.0  -0.0  # for region 4
#   1.947  1.894  -0.0  -0.0  # for region 5
#   0.253  -0.132  -0.0  -0.0  # for region 6

# Spectrum#; Integral 0; Integral 1; Integral 2; Integral 3; Integral 4; Integral 5;
0;-5.715966947364284E-4;2.3520534245167446E-4;0.0020415211118854555;0.002161662563541963;-5.659654323426443E-4;1.0;
1;8.317258992326991E-5;2.4190079965756935E-4;5.645267209349019E-4;4.901845021766363E-4;-1.5573456334134914E-4;1.0;
2;8.982589322624361E-4;0.0021739488311350746;0.002276880528252835;0.0016780412400778776;0.003452294260327102;1.0;
3;8.913381507619712E-4;0.03161568456427238;0.03505216355932315;0.02390391451381916;0.009887824107912148;1.0;
4;7.190051345357763E-4;0.021690632990207646;0.023010227553289037;0.023034922054514895;0.15024196259037287;1.0;
5;0.0011399664415373569;0.01892771999317642;0.02053613665335634;0.01824047047413072;0.1537650016978799;1.0;
6;9.247927161603895E-4;0.053625339145969377;0.0555944725725291;0.05361106051330034;0.009099267253945121;1.0;
7;0.0014235554728778226;0.03362534202798285;0.035130570616580856;0.0672712507614281;0.14971803581599755;1.0;
8;0.001262207642223015;0.027916069259843933;0.028571507359381798;0.04941099718182043;0.1524888809733324;1.0;
9;5.977653084490462E-4;0.10098529110196973;0.10647327876454347;0.1567276964711409;0.009359975157928474;1.0;
10;0.0017888442008681992;0.05010155255868596;0.052021448182908395;0.1955395848807414;0.15038860627375636;1.0;
11;0.0016158769901718746;0.0458987755727584;0.04704249861304499;0.1602003255663375;0.1535631469684444;1.0;
12;6.000647738657859E-4;0.13282777543287627;0.13919869033721335;0.28944193008321795;0.008140356013006422;1.0;
13;0.0016439849091189132;0.050737839582685164;0.05245731136569952;0.33521384899278117;0.15197508250679906;1.0;
14;0.001757009545251055;0.045193505955429536;0.047182741529413916;0.28656878289520954;0.15734616684453967;1.0;
15;0.0010623725308387586;0.14363203264815624;0.14996356806140454;0.45573607699484425;0.009047446137417713;1.0;
16;0.0016987184364689039;0.043709270130840805;0.04533936798130233;0.4691623287837115;0.15179350361199814;1.0;
17;0.0018807764437008187;0.03858958854574879;0.04158970455043948;0.41650811970217244;0.16008123647435105;1.0;
