# Result of 'intser'
# Date/time = Tue Jan 28 13:09:15 CET 2025
# Data set list (full path) = /var/folders/h2/fptkkjmd6sd3pk78km2njjrm0000gn/T/topspin-dataset-list-14229853649479557628.txt
# Region to calibrate = 5
# Value of region to calibrate = 1.0
# Global scaling = no

# --- Integral info --- 
# A 1.0 #regions in PPM
# # low field   high field  bias        slope
#   8.205  8.184  -0.0  -0.0  # for region 1
#   8.146  8.1  -0.0  -0.0  # for region 2
#   7.967  7.924  -0.0  -0.0  # for region 3
#   7.9  7.867  -0.0  -0.0  # for region 4
#   1.947  1.894  -0.0  -0.0  # for region 5
#   0.253  -0.132  -0.0  -0.0  # for region 6

# Spectrum#; Integral 0; Integral 1; Integral 2; Integral 3; Integral 4; Integral 5;
0;2.1788047864862567E-4;1.8802078370441563E-4;2.8640249091647246E-4;4.2353419557023106E-4;1.513220395511307E-4;1.0;
1;1.2540807531279442E-4;2.1847269914035893E-4;2.3107955749278295E-4;2.110962792904791E-4;-1.9046500588750117E-4;1.0;
2;1.9170562595685237E-4;4.447878132462341E-6;4.971605390321155E-4;4.0323340787131845E-4;2.5814320750085177E-5;1.0;
3;1.2042424273168874E-4;3.218029431597374E-4;4.330344956065644E-4;3.253912191362365E-4;1.8972211900561176E-4;1.0;
4;2.2492177730124198E-5;3.9549487528794697E-4;3.907650335041108E-4;1.5251832558604001E-4;1.909387541083706E-4;1.0;
5;3.2702558923665345E-5;1.5920526017993073E-4;4.286441839393939E-4;1.505224627742332E-4;1.217823453083496E-4;1.0;
6;0.0020586973767283837;0.006559009732542611;0.0094152000331608;0.0021050541623111505;0.0020543897953339296;1.0;
7;5.639878846115066E-4;0.001799174399993934;0.002480470742906573;6.711141929146089E-4;4.1203246291913125E-4;1.0;
8;9.02172815041757E-4;0.0027980644118527766;0.004277914230358147;0.0013203490180316829;6.554300414135791E-4;1.0;
9;0.0010754681767390743;0.0031680553044157837;0.004134465033217828;0.0010991715350223525;0.0011997822792424425;1.0;
10;0.0010471214681905018;0.003062271398264246;0.004689738733060529;0.0024959516850436817;0.001603949452074377;1.0;
11;4.925878610243289E-4;0.001293249928654798;0.0020363127345624063;0.0013528093594279969;3.868494104991093E-4;1.0;
12;0.0031122462156796746;0.021506746403698828;0.03054219091221015;0.014552358072804226;0.00484999838657341;1.0;
13;0.0034746646470451333;0.015538598593160462;0.022307967129330142;0.0058005160668063525;0.004065897756663745;1.0;
14;0.00443600343390308;0.016778458095780442;0.025058140660661924;0.007841229607478293;0.0050110088490561725;1.0;
15;0.004903263727697233;0.018900015612343696;0.027429453087834905;0.007524270462481789;0.005724294834790691;1.0;
16;0.002334286650662081;0.009571229539344894;0.012178855424525195;0.011180906249635901;0.001535064264002055;1.0;
17;0.0034506820545454377;0.014003434083215345;0.01948241347086229;0.01584696909080598;0.002777764380241903;1.0;
18;0.00322361695619134;0.03369642244013958;0.04568674554975021;0.029929392340787085;0.006050596670628952;1.0;
19;0.006326043782499702;0.031051875613913815;0.04425776262524336;0.013254465338197643;0.008218002741896982;1.0;
20;0.008746073186040945;0.036062711706037816;0.05494110757531356;0.019147701937546002;0.010625695182543422;1.0;
21;0.008257676921036173;0.03559186526255852;0.05267006632194541;0.01605915269934778;0.010250453717545255;1.0;
22;0.003183975693311558;0.014527400872643604;0.018569244328459696;0.020095633342698073;0.0018630659097800004;1.0;
23;0.005627197392054135;0.026603814382912525;0.03572837465478197;0.033895643495048526;0.004326967099219486;1.0;
24;0.004810657215260195;0.05614493696086176;0.07587097092441925;0.05744534384061076;0.009692293577931776;1.0;
25;0.009293315213031908;0.0600024679175559;0.08561412996998871;0.03397612209971575;0.015773998244023386;1.0;
26;0.008461223996855926;0.0528689551748587;0.07719640422009617;0.04188065812189284;0.012641005494619974;1.0;
27;0.011768849061893186;0.06381688974430813;0.09403980205941527;0.03766091512998554;0.018138976002990904;1.0;
28;0.0026023650559571154;0.018483569227801158;0.021834302329527933;0.032091924640728194;0.0017574668890699087;1.0;
29;0.007652559341172643;0.04561707210419413;0.05838214434304468;0.06777411677879426;0.0062871140894961266;1.0;
30;0.0015997349860341161;0.07578349124835247;0.09015155052795311;0.1265046052520793;0.006368885894726871;1.0;
31;0.009386538700574619;0.08624417489648288;0.11986972314731846;0.07276740788345588;0.02078029983491736;1.0;
32;0.0037626064999570523;0.06016662538018782;0.0784109716987887;0.083922155390208;0.008803040881982619;1.0;
33;0.010568954685719254;0.08807508227002568;0.12438188008766768;0.07914457612547415;0.021545443066559294;1.0;
34;0.0011730031577790127;0.019466515812024455;0.021859894974244346;0.0492254032556732;0.0023104380292661153;1.0;
35;0.0065728843048662375;0.05819891492806772;0.0686254634041143;0.11183733218740997;0.01030406021989689;1.0;
