# Result of 'intser'
# Date/time = Thu Feb 27 14:01:33 CET 2025
# Data set list (full path) = /var/folders/h2/fptkkjmd6sd3pk78km2njjrm0000gn/T/topspin-dataset-list-14225227463453227384.txt
# Region to calibrate = 4
# Value of region to calibrate = 1.0
# Global scaling = no

# --- Integral info --- 
# A 1.0 #regions in PPM
# # low field   high field  bias        slope
#   8.129  8.055  -0.0  -0.0  # for region 1
#   8.048  7.942  -0.0  -0.0  # for region 2
#   7.874  7.799  -0.0  -0.0  # for region 3
#   7.798  7.745  -0.0  -0.0  # for region 4
#   0.021  -0.244  -0.0  -0.0  # for region 5

# Spectrum#; Integral 0; Integral 1; Integral 2; Integral 3; Integral 4;
0;-0.0022321575824229703;-0.002729265586856616;8.176115432187801E-4;0.0010724774185902454;1.0;
1;-0.0010750470502451516;-0.0013836928766026715;9.264401704154279E-4;9.595312429194592E-4;1.0;
2;-2.063045673517114E-4;-6.817495148159945E-4;9.987652903303884E-4;6.069341861092957E-4;1.0;
3;9.160996996561693E-4;0.001272515723776781;8.56411881432812E-4;5.064530692697896E-4;1.0;
4;0.0016724479609703882;0.012048250395290314;0.0130962480879563;0.007760995017717619;1.0;
5;6.922752996558587E-4;0.00962958344487062;0.013242650651715393;0.007125706602227127;1.0;
6;0.002431785753071323;0.016267740048807183;0.017641243765205154;0.01267229009540748;1.0;
7;0.0032959123482089792;0.011639105159194146;0.0111733562409081;0.007740373487659328;1.0;
8;9.344259928584982E-4;0.01872928868649561;0.02034126754936324;0.018092566100182533;1.0;
9;0.00137947373301376;0.01588265174762889;0.018598980789182016;0.01865914759590885;1.0;
10;0.0039634875511283495;0.02569422316190153;0.026283648343083086;0.02383866386949104;1.0;
11;0.004088716713698763;0.021729346086111503;0.022397580037177497;0.02376771248290304;1.0;
12;-5.170165259147556E-5;0.02328745700470915;0.02586133175607248;0.02497155315430513;1.0;
13;0.0017371179047123175;0.01921808356696438;0.022030442192754716;0.025140879911675445;1.0;
14;0.0016324518019482182;0.028727721941322303;0.030516345813038748;0.030544045491931033;1.0;
15;0.004298301237079593;0.029092652636808786;0.02980624421300274;0.03787137396447729;1.0;
16;-1.2150676622316571E-4;0.0256912985100077;0.028708771083549647;0.035893480142407744;1.0;
17;8.027259681178226E-4;0.022364794341451312;0.025826781770410787;0.0394152438877235;1.0;
18;9.467152740881434E-4;0.03307692382030485;0.03482820273740674;0.04347451177441773;1.0;
19;0.004119605652448626;0.04282148411878566;0.044014531085458684;0.07141559297555887;1.0;
20;-0.0011161609431581412;0.025137566703809386;0.028708048185853773;0.0545061305670173;1.0;
21;0.002273573025322339;0.04125873375803332;0.04440830772697147;0.0828974962822753;1.0;
22;0.001291214749512614;0.034841183966819685;0.036548856294576;0.06401018332236282;1.0;
23;0.003362798425304236;0.05854507113658143;0.061582451456370244;0.13107270107518842;1.0;
