Chrom.1;;Chrom.1;;Chrom.1;;Chrom.1;;Chrom.1;;Chrom.1;;Chrom.1;
UV 1_280;;Conc B;;Injection;;Run Log;;Fraction;;UV 1_280_CUT_TEMP@100,BASEM;;Cond;
ml;mAU;ml;%;ml;Injection;ml;Logbook;ml;Fraction;ml;mAU;ml;mS/cm
-24.749388;3.485048;-20.494226;0;;;;;;;0.472895;0.086335;-24.276443;0.045368
-24.741234;3.441305;-20.412708;0;;;;;;;0.481049;0.087186;-24.260136;0.045413
-24.733082;3.40125;-20.33119;0;;;;;;;0.489201;0.088038;-24.243828;0.045457
-24.724928;3.367022;-20.249672;0;;;;;;;0.497355;0.088817;-24.22752;0.045509
-24.716774;3.341442;-20.168154;0;;;;;;;0.505508;0.089597;-24.211212;0.04552
-24.70862;3.325122;-20.086636;0;;;;;;;0.513662;0.090376;-24.194904;0.04554
-24.700468;3.316348;-20.005117;0;;;;;;;0.521814;0.091156;-24.178598;0.045585
-24.692314;3.315396;-19.923599;0;;;;;;;0.529968;0.091935;-24.162291;0.045622
-24.68416;3.322091;-19.842081;0;;;;;;;0.538122;0.092715;-24.145983;0.04563
-24.676008;3.337261;-19.760563;0;;;;;;;0.546274;0.093494;-24.129675;0.045632
-24.667854;3.360185;-19.679045;0;;;;;;;0.554428;0.094274;-24.113367;0.045636
-24.6597;3.388785;-19.597527;0;;;;;;;0.562582;0.095053;-24.097059;0.045644
-24.651546;3.423211;-19.516008;0;;;;;;;0.570734;0.095833;-24.080751;0.045676
-24.643394;3.464036;-19.43449;0;;;;;;;0.578888;0.096677;-24.064445;0.0457
-24.635241;3.512084;-19.352972;0;;;;;;;0.587042;0.097521;-24.048138;0.045714
-24.627087;3.565611;-19.271454;0;;;;;;;0.595196;0.098364;-24.03183;0.045757
-24.618935;3.623261;-19.189936;0;;;;;;;0.603348;0.099208;-24.015522;0.045803
-24.610781;3.686252;-19.108418;0;;;;;;;0.611502;0.100052;-23.999214;0.045858
-24.602627;3.752154;-19.026899;0;;;;;;;0.619656;0.100896;-23.982906;0.045914
-24.594475;3.821454;-18.945381;0;;;;;;;0.627808;0.10174;-23.966599;0.045959
-24.586321;3.894821;-18.863863;0;;;;;;;0.635962;0.102584;-23.950291;0.045989
-24.578167;3.97159;-18.782345;0;;;;;;;0.644115;0.103427;-23.933985;0.046033
-24.570013;4.051022;-18.700827;0;;;;;;;0.652269;0.104271;-23.917677;0.046084
-24.561861;4.132946;-18.619308;0;;;;;;;0.660421;0.104991;-23.901369;0.046117
-24.553707;4.214471;-18.53779;0;;;;;;;0.668575;0.10571;-23.885061;0.046182
-24.545553;4.298167;-18.456272;0;;;;;;;0.676729;0.10643;-23.868753;0.046262
-24.537401;4.38326;-18.374754;0;;;;;;;0.684881;0.10715;-23.852446;0.046333
-24.529247;4.468333;-18.293236;0;;;;;;;0.693035;0.107869;-23.836138;0.046372
-24.521093;4.552645;-18.211718;0;;;;;;;0.701189;0.108589;-23.819832;0.046422
-24.512939;4.637119;-18.130199;0;;;;;;;0.709343;0.109308;-23.803524;0.046502
-24.504787;4.72124;-18.048679;0;;;;;;;0.717495;0.110028;-23.787216;0.046559
-24.496634;4.802999;-17.967163;0;;;;;;;0.725649;0.110747;-23.770908;0.046682
-24.48848;4.884089;-17.885643;0;;;;;;;0.733803;0.111467;-23.754601;0.046775
-24.480328;4.965461;-17.804127;0;;;;;;;0.741955;0.112227;-23.738293;0.046883
