Chrom.1;;Chrom.1;;Chrom.1;;Chrom.1;;Chrom.1;;Chrom.1;;Chrom.1;
UV 1_280;;Injection;;Run Log;;Fraction;;UV 1_280_CUT_TEMP@100,BASEM;;Cond;;Conc B;
ml;mAU;ml;Injection;ml;Logbook;ml;Fraction;ml;mAU;ml;mS/cm;ml;%
-24.757599;-19.295607;;;;;;;0.464691;0.121064;-24.29291;93.766373;-20.575275;0
-24.749447;-19.086319;;;;;;;0.472843;0.121675;-24.276606;93.777939;-20.493748;0
-24.741295;-18.895512;;;;;;;0.480995;0.122286;-24.2603;93.789055;-20.41222;0
-24.733143;-18.716717;;;;;;;0.489147;0.122897;-24.243996;93.800537;-20.330694;0
-24.724989;-18.544571;;;;;;;0.497301;0.123563;-24.22769;93.812744;-20.249168;0
-24.716837;-18.373081;;;;;;;0.505453;0.12423;-24.211386;93.825401;-20.167641;0
-24.708685;-18.195564;;;;;;;0.513605;0.124896;-24.19508;93.838646;-20.086115;0
-24.700533;-18.009596;;;;;;;0.521757;0.125562;-24.178776;93.851891;-20.004589;0
-24.692379;-17.813141;;;;;;;0.529909;0.126228;-24.16247;93.865379;-19.923061;0
-24.684227;-17.606417;;;;;;;0.538063;0.126895;-24.146166;93.879028;-19.841536;0
-24.676075;-17.394114;;;;;;;0.546215;0.127561;-24.12986;93.892815;-19.760008;0
-24.667923;-17.178053;;;;;;;0.554367;0.128227;-24.113556;93.906693;-19.678482;0
-24.659771;-16.95816;;;;;;;0.562519;0.128894;-24.097252;93.920654;-19.596954;0
-24.651617;-16.73624;;;;;;;0.570673;0.12956;-24.080946;93.934273;-19.515429;0
-24.643465;-16.512331;;;;;;;0.578825;0.130281;-24.064642;93.947044;-19.433903;0
-24.635313;-16.287437;;;;;;;0.586977;0.131003;-24.048336;93.959534;-19.352375;0
-24.627161;-16.065315;;;;;;;0.595129;0.131724;-24.032032;93.972214;-19.270849;0
-24.619007;-15.846279;;;;;;;0.603283;0.132445;-24.015726;93.984718;-19.189322;0
-24.610855;-15.627742;;;;;;;0.611435;0.133166;-23.999422;93.997047;-19.107796;0
-24.602703;-15.408074;;;;;;;0.619587;0.133888;-23.983116;94.010239;-19.026268;0
-24.594551;-15.184074;;;;;;;0.627739;0.134609;-23.966812;94.02346;-18.944742;0
-24.586397;-14.956003;;;;;;;0.635893;0.13533;-23.950506;94.035927;-18.863216;0
-24.578245;-14.725109;;;;;;;0.644045;0.136052;-23.934202;94.049126;-18.781689;0
-24.570093;-14.492075;;;;;;;0.652197;0.136773;-23.917896;94.062637;-18.700163;0
-24.561941;-14.255415;;;;;;;0.660349;0.137388;-23.901592;94.075928;-18.618637;0
-24.553787;-14.021625;;;;;;;0.668503;0.138003;-23.885286;94.089241;-18.537109;0
-24.545635;-13.789764;;;;;;;0.676655;0.138618;-23.868982;94.102783;-18.455584;0
-24.537483;-13.55876;;;;;;;0.684807;0.139233;-23.852676;94.115517;-18.374056;0
-24.529331;-13.330107;;;;;;;0.692959;0.139848;-23.836372;94.128464;-18.29253;0
-24.521179;-13.105227;;;;;;;0.701111;0.140463;-23.820068;94.141411;-18.211002;0
-24.513025;-12.884498;;;;;;;0.709265;0.141078;-23.803762;94.154533;-18.129477;0
-24.504873;-12.666714;;;;;;;0.717417;0.141693;-23.787458;94.167252;-18.047951;0
-24.496721;-12.454688;;;;;;;0.725569;0.142308;-23.771152;94.179977;-17.966423;0
-24.488569;-12.245806;;;;;;;0.733721;0.142923;-23.754848;94.193306;-17.884897;0
-24.480415;-12.039808;;;;;;;0.741875;0.143742;-23.738543;94.205742;-17.80337;0
-24.472263;-11.839002;;;;;;;0.750027;0.144561;-23.722239;94.218567;-17.721844;0
-24.464111;-11.641121;;;;;;;0.758179;0.14538;-23.705933;94.230644;-17.640316;0
-24.455959;-11.446795;;;;;;;0.766331;0.146198;-23.689629;94.242447;-17.55879;0
-24.447805;-11.258536;;;;;;;0.774485;0.147017;-23.673323;94.253159;-17.477264;0
-24.439653;-11.07429;;;;;;;0.782637;0.147836;-23.657019;94.263588;-17.395737;0
-24.431501;-10.894918;;;;;;;0.790789;0.148655;-23.640713;94.273071;-17.314211;0
-24.423349;-10.719275;;;;;;;0.798941;0.149474;-23.624409;94.282204;-17.232685;0
-24.415195;-10.54773;;;;;;;0.807095;0.150292;-23.608103;94.290962;-17.151157;0
-24.407043;-10.380977;;;;;;;0.815247;0.151111;-23.591799;94.300896;-17.06963;0
-24.398891;-10.219096;;;;;;;0.823399;0.151803;-23.575493;94.310127;-16.988104;0
-24.390739;-10.060112;;;;;;;0.831551;0.152495;-23.559189;94.31942;-16.906578;0
-24.382586;-9.903825;;;;;;;0.839705;0.153187;-23.542885;94.328423;-16.82505;0
-24.374434;-9.751702;;;;;;;0.847857;0.153879;-23.526579;94.337563;-16.743525;0
-24.366282;-9.604706;;;;;;;0.856009;0.154571;-23.510275;94.34713;-16.661999;0
-24.35813;-9.46314;;;;;;;0.864161;0.155263;-23.493969;94.357422;-16.580471;0
-24.349976;-9.326659;;;;;;;0.872313;0.155955;-23.477665;94.367676;-16.498943;0
-24.341824;-9.194919;;;;;;;0.880466;0.156647;-23.461359;94.37767;-16.417419;0
-24.333672;-9.065599;;;;;;;0.888618;0.157339;-23.445055;94.387665;-16.335892;0
-24.32552;-8.941152;;;;;;;0.89677;0.15803;-23.428749;94.397423;-16.254364;0
-24.317368;-8.821612;;;;;;;0.904922;0.15857;-23.412445;94.406616;-16.172838;0
-24.309214;-8.706067;;;;;;;0.913076;0.15911;-23.396139;94.41597;-16.091312;0
-24.301062;-8.595319;;;;;;;0.921228;0.15965;-23.379835;94.425774;-16.009785;0
-24.29291;-8.48926;;;;;;;0.92938;0.16019;-23.363529;94.43544;-15.928259;0
-24.284758;-8.388272;;;;;;;0.937532;0.160729;-23.347225;94.445038;-15.846732;0
-24.276604;-8.292017;;;;;;;0.945686;0.161269;-23.330919;94.45443;-15.765205;0
-24.268452;-8.199774;;;;;;;0.953838;0.161809;-23.314615;94.463226;-15.683679;0
-24.2603;-8.111348;;;;;;;0.96199;0.162349;-23.298309;94.471802;-15.602152;0
-24.252148;-8.027268;;;;;;;0.970142;0.162889;-23.282005;94.480606;-15.520625;0
-24.243994;-7.948411;;;;;;;0.978296;0.163428;-23.265701;94.489624;-15.439099;0
-24.235842;-7.873651;;;;;;;0.986448;0.164178;-23.249395;94.498619;-15.357573;0
-24.22769;-7.803287;;;;;;;0.9946;0.164928;-23.233091;94.507774;-15.276046;0
-24.219538;-7.736238;;;;;;;1.002752;0.165678;-23.216785;94.51709;-15.194519;0
-24.211384;-7.674086;;;;;;;1.010906;0.166428;-23.200481;94.525909;-15.112992;0
-24.203232;-7.616714;;;;;;;1.019058;0.167178;-23.184175;94.534935;-15.031466;0
-24.19508;-7.564695;;;;;;;1.02721;0.167928;-23.167871;94.544495;-14.94994;0
-24.186928;-7.516535;;;;;;;1.035362;0.168678;-23.151566;94.553551;-14.868413;0
-24.178776;-7.474924;;;;;;;1.043514;0.169428;-23.135262;94.562012;-14.786886;0
-24.170622;-7.441804;;;;;;;1.051668;0.170177;-23.118956;94.570854;-14.705359;0
-24.16247;-7.413785;;;;;;;1.05982;0.170927;-23.102652;94.578461;-14.623833;0
-24.154318;-7.38863;;;;;;;1.067972;0.17171;-23.086346;94.585617;-14.542307;0
-24.146166;-7.368441;;;;;;;1.076124;0.172492;-23.070042;94.59269;-14.46078;0
-24.138012;-7.350493;;;;;;;1.084278;0.173274;-23.053736;94.599731;-14.379253;0
-24.12986;-7.341498;;;;;;;1.09243;0.174056;-23.037432;94.606186;-14.297727;0
-24.121708;-7.338842;;;;;;;1.100582;0.174839;-23.021126;94.612778;-14.2162;0
-24.113556;-7.340394;;;;;;;1.108734;0.175621;-23.004822;94.619034;-14.134673;0
-24.105402;-7.348626;;;;;;;1.116888;0.176403;-22.988518;94.624443;-14.053147;0
-24.09725;-7.36232;;;;;;;1.12504;0.177185;-22.972212;94.630028;-13.971621;0
-24.089098;-7.378513;;;;;;;1.133192;0.177968;-22.955908;94.635193;-13.890094;0
-24.080946;-7.401667;;;;;;;1.141344;0.17875;-22.939602;94.640572;-13.808567;0
-24.072792;-7.431339;;;;;;;1.149498;0.179151;-22.923298;94.645081;-13.72704;0
-24.06464;-7.465401;;;;;;;1.15765;0.179553;-22.906992;94.649902;-13.645514;0
-24.056488;-7.504924;;;;;;;1.165802;0.179954;-22.890688;94.65416;-13.563988;0
-24.048336;-7.550001;;;;;;;1.173954;0.180356;-22.874382;94.658119;-13.482461;0
-24.040182;-7.598575;;;;;;;1.182108;0.180757;-22.858078;94.660645;-13.400934;0
-24.03203;-7.652126;;;;;;;1.19026;0.181159;-22.841772;94.663551;-13.319407;0
-24.023878;-7.707552;;;;;;;1.198412;0.18156;-22.825468;94.665947;-13.237881;0
-24.015726;-7.768417;;;;;;;1.206564;0.181962;-22.809162;94.66806;-13.156354;0
-24.007572;-7.835423;;;;;;;1.214718;0.182363;-22.792858;94.669609;-13.074828;0
-23.99942;-7.907949;;;;;;;1.22287;0.182765;-22.776552;94.670166;-12.993301;0
-23.991268;-7.982299;;;;;;;1.231022;0.183594;-22.760248;94.670181;-12.911775;0
-23.983116;-8.06146;;;;;;;1.239174;0.184424;-22.743942;94.669418;-12.830248;0
-23.974964;-8.144345;;;;;;;1.247326;0.185253;-22.727638;94.668358;-12.748721;0
-23.96681;-8.228004;;;;;;;1.25548;0.186083;-22.711334;94.665932;-12.667194;0
-23.958658;-8.314055;;;;;;;1.263632;0.186912;-22.695028;94.662796;-12.585669;0
-23.950506;-8.403159;;;;;;;1.271784;0.187742;-22.678724;94.658363;-12.504142;0
-23.942354;-8.494538;;;;;;;1.279936;0.188571;-22.662418;94.652847;-12.422615;0
-23.9342;-8.590891;;;;;;;1.28809;0.189401;-22.646114;94.646149;-12.341088;0
-23.926048;-8.689514;;;;;;;1.296242;0.19023;-22.629808;94.638306;-12.259562;0
-23.917896;-8.789843;;;;;;;1.304394;0.19106;-22.613504;94.629356;-12.178036;0
-23.909744;-8.893125;;;;;;;1.312546;0.191484;-22.597198;94.619751;-12.096509;0
-23.90159;-8.998078;;;;;;;jan.07;0.191909;-22.580894;94.608833;-12.014982;0
-23.893438;-9.104883;;;;;;;1.328852;0.192334;-22.564589;94.596107;-11.933455;0
-23.885286;-9.214065;;;;;;;1.337004;0.192758;-22.548285;94.582413;-11.851929;0
-23.877134;-9.324286;;;;;;;1.345156;0.193183;-22.531979;94.5681;-11.770402;0
-23.86898;-9.435367;;;;;;;1.35331;0.193608;-22.515675;94.552345;-11.688876;0
-23.860828;-9.548141;;;;;;;1.361462;0.194032;-22.499369;94.53476;-11.607349;0
-23.852676;-9.661091;;;;;;;1.369614;0.194457;-22.483065;94.516006;-11.525823;0
-23.844524;-9.776629;;;;;;;1.377766;0.194881;-22.466759;94.495628;-11.444296;0
-23.836372;-9.894106;;;;;;;1.38592;0.195306;-22.450455;94.472969;-11.362769;0
-23.828218;-10.012947;;;;;;;1.394072;0.196181;-22.434151;94.448273;-11.281242;0
-23.820066;-10.134181;;;;;;;1.402224;0.197056;-22.417845;94.420563;-11.199717;0
-23.811914;-10.258016;;;;;;;1.410376;0.197932;-22.401541;94.389893;-11.11819;0
-23.803762;-10.37997;;;;;;;1.418528;0.198807;-22.385235;94.356308;-11.036663;0
-23.795609;-10.499772;;;;;;;1.426682;0.199682;-22.368931;94.320267;-10.955136;0
