Chrom.1;;Chrom.1;;Chrom.1;;Chrom.1;;Chrom.1;;Chrom.1;
UV 1_280;;Conc B;;Run Log;;Fraction;;UV 1_280_CUT_TEMP@100,BASEM;;Cond;
ml;mAU;ml;%;ml;Logbook;ml;Fraction;ml;mAU;ml;mS/cm
0.505422;-13.545641;5.055083;0.993476;;;;;0.505422;-13.577179;1.010888;1.574187
0.513708;-13.547087;5.137953;1.009956;;;;;0.513708;-13.577179;1.02746;1.612242
0.521994;-13.548519;5.220823;1.026437;;;;;0.521994;-13.577179;1.044032;1.652683
0.530279;-13.550403;5.303693;1.042931;;;;;0.530279;-13.577179;1.060604;1.695828
0.538565;-13.552717;5.386563;1.059422;;;;;0.538565;-13.577179;1.077176;1.742036
0.546851;-13.555295;5.469434;1.0759;;;;;0.546851;-13.577179;1.093748;1.791479
0.555136;-13.557373;5.552304;1.092381;;;;;0.555136;-13.577179;1.110319;1.844129
0.563422;-13.559258;5.635174;1.108871;;;;;0.563422;-13.577179;1.126891;1.900205
0.571707;-13.561807;5.718044;1.12536;;;;;0.571707;-13.577179;1.143463;1.959938
0.579993;-13.563826;5.800915;1.141841;;;;;0.579993;-13.577179;1.160035;2.023493
0.588279;-13.564565;5.883785;1.158322;;;;;0.588279;-13.577179;1.176607;2.091576
0.596564;-13.565293;5.966655;1.174819;;;;;0.596564;-13.577179;1.193179;2.164377
0.60485;-13.566078;6.049525;1.191309;;;;;0.60485;-13.577179;1.209751;2.241833
0.613135;-13.566744;6.132395;1.207788;;;;;0.613135;-13.577179;1.226323;2.324124
0.621421;-13.567917;6.215266;1.224268;;;;;0.621421;-13.577179;1.242895;2.411004
0.629707;-13.56873;6.298136;1.240748;;;;;0.629707;-13.577179;1.259467;2.502388
0.637992;-13.569519;6.381006;1.257236;;;;;0.637992;-13.577179;1.276039;2.599077
0.646278;-13.571353;6.463876;1.273726;;;;;0.646278;-13.577179;1.292611;2.701625
0.654563;-13.573492;6.546746;1.290208;;;;;0.654563;-13.577179;1.309183;2.810227
0.662849;-13.575972;6.629617;1.306686;;;;;0.662849;-13.577179;1.325755;2.924859
0.671135;-13.577433;6.712487;1.323176;;;;;0.671135;-13.577433;1.342327;3.045461
0.67942;-13.578109;6.795357;1.339671;;;;;0.67942;-13.578109;1.358899;3.172185
0.687706;-13.578362;6.878227;1.356153;;;;;0.687706;-13.578362;1.375471;3.305277
0.695992;-13.577689;6.961097;1.372633;;;;;0.695992;-13.577689;1.392042;3.445138
0.704277;-13.577179;7.043968;1.389126;;;;;0.704277;-13.577179;1.408614;3.590355
0.712563;-13.576842;7.126838;1.405617;;;;;0.712563;-13.577179;1.425186;3.74151
0.720848;-13.576427;7.209708;1.422101;;;;;0.720848;-13.577179;1.441758;3.901489
0.729134;-13.575846;7.292578;1.438584;;;;;0.729134;-13.577179;1.45833;4.070515
0.73742;-13.575234;7.375449;1.45506;;;;;0.73742;-13.577179;1.474902;4.24767
0.745705;-13.574453;7.458319;1.471552;;;;;0.745705;-13.577179;1.491474;4.433386
0.753991;-13.573144;7.541189;1.488045;;;;;0.753991;-13.577179;1.508046;4.628336
0.762276;-13.570664;7.624059;1.504524;;;;;0.762276;-13.577179;1.524618;apr.15
0.770562;-13.568145;7.706929;1.521001;;;;;0.770562;-13.577179;1.54119;5.043231
0.778848;-13.564965;jul.98;1.53749;;;;;0.778848;-13.577179;1.557762;5.264188
0.787133;-13.561547;7.87267;1.553986;;;;;0.787133;-13.577179;1.574334;5.493292
0.795419;-13.559141;7.95554;1.570465;;;;;0.795419;-13.577179;1.590906;5.729392
0.803705;-13.555862;8.03841;1.586944;;;;;0.803705;-13.577179;1.607478;5.973452
0.81199;-13.552353;8.121281;1.603432;;;;;0.81199;-13.577179;1.624049;6.226168
0.820276;-13.548628;8.20415;1.619925;;;;;0.820276;-13.577179;1.640621;6.486022
0.828561;-13.54315;8.287021;1.636408;;;;;0.828561;-13.577179;1.657193;6.753393
0.836847;-13.537214;8.369891;1.65289;;;;;0.836847;-13.577179;1.673765;7.028913
0.845133;-13.531813;8.452762;1.669383;;;;;0.845133;-13.577179;1.690337;7.312357
0.853418;-13.524514;8.535631;1.685871;;;;;0.853418;-13.577179;1.706909;7.605
