Chrom.1;;Chrom.1;;Chrom.1;;Chrom.1;;Chrom.1;;Chrom.1;;Chrom.1;
UV 1_280;;Injection;;Run Log;;Fraction;;UV 1_280_CUT_TEMP@100,BASEM;;Cond;;Conc B;
ml;mAU;ml;Injection;ml;Logbook;ml;Fraction;ml;mAU;ml;mS/cm;ml;%
-24.772503;8.064939;;;;;;;0.450047;-1.009259;-24.322437;0.181715;-20.721294;0
-24.76432;7.945846;;;;;;;0.458229;-1.009259;-24.30607;0.181757;-20.639454;0
-24.756138;7.835043;;;;;;;0.466412;-1.009259;-24.289705;0.181803;-20.557613;0
-24.747955;7.73607;;;;;;;0.474594;-1.009259;-24.27334;0.181841;-20.475771;0
-24.739773;7.647847;;;;;;;0.482777;-1.009259;-24.256973;0.181893;-20.39393;0
-24.73159;7.580788;;;;;;;0.490959;-1.009259;-24.240608;0.181946;-20.31209;0
-24.723408;7.532624;;;;;;;0.499142;-1.009259;-24.224243;0.181965;-20.230247;0
-24.715225;7.508368;;;;;;;0.507324;-1.009259;-24.207876;0.181993;-20.148407;0
-24.707043;jul.96;;;;;;;0.515507;-1.009259;-24.191511;0.182034;-20.066566;0
-24.698858;7.534373;;;;;;;0.523691;-1.009259;-24.175146;0.182081;-19.984726;0
-24.690676;7.583937;;;;;;;0.531874;-1.009259;-24.158779;0.182131;-19.902885;0
-24.682493;7.65526;;;;;;;0.540056;-1.009259;-24.142414;0.182181;-19.821043;0
-24.674311;7.74827;;;;;;;0.548239;-1.009259;-24.126049;0.182227;-19.739202;0
-24.666128;7.862423;;;;;;;0.556421;-1.009259;-24.109682;0.182281;-19.657362;0
-24.657946;7.998735;;;;;;;0.564604;-1.009259;-24.093317;0.182321;-19.57552;0
-24.649763;8.154773;;;;;;;0.572786;-1.009259;-24.076952;0.182337;-19.493679;0
-24.641581;8.331194;;;;;;;0.580969;-1.009259;-24.060585;0.182384;-19.411839;0
-24.633398;8.529143;;;;;;;0.589151;-1.009259;-24.04422;0.182421;-19.329998;0
-24.625216;8.746861;;;;;;;0.597334;-1.009259;-24.027855;0.18244;-19.248158;0
-24.617033;8.985153;;;;;;;0.605516;-1.009259;-24.011488;0.18249;-19.166315;0
-24.60885;9.245304;;;;;;;0.613699;-1.009259;-23.995123;0.182541;-19.084475;0
-24.600668;9.526505;;;;;;;0.621881;-1.009259;-23.978758;0.182588;-19.002634;0
-24.592484;9.826667;;;;;;;0.630064;-1.009259;-23.962391;0.182612;-18.920792;0
-24.584301;10.143732;;;;;;;0.638248;-1.009259;-23.946026;0.182631;-18.838951;0
-24.576118;10.477607;;;;;;;0.646431;-1.009259;-23.929661;0.182643;-18.757111;0
-24.567936;10.826804;;;;;;;0.654613;-1.009259;-23.913294;0.182668;-18.67527;0
-24.559753;11.189372;;;;;;;0.662796;-1.009259;-23.896929;0.18266;-18.59343;0
-24.551571;11.565652;;;;;;;0.670979;-1.009259;-23.880564;0.182686;-18.511587;0
