Chrom.1;;Chrom.1;;Chrom.1;;Chrom.1;;Chrom.1;;Chrom.1;;Chrom.1;
UV 1_280;;Conc B;;Injection;;Run Log;;Fraction;;UV 1_280_CUT_TEMP@100,BASEM;;Cond;
ml;mAU;ml;%;ml;Injection;ml;Logbook;ml;Fraction;ml;mAU;ml;mS/cm
-24.766127;-7.385557;-20.659933;0;;;;;;;0.45619;-1.114737;-24.309912;100.185043
-24.75798;-7.141771;-20.578463;0;;;;;;;0.464336;-1.114737;-24.293619;100.200829
-24.749834;-6.90876;-20.49699;0;;;;;;;0.472483;-1.114737;-24.277327;100.217873
-24.741688;-6.683661;-20.41552;0;;;;;;;0.480629;-1.114737;-24.261034;100.234383
-24.733541;-6.461496;-20.334049;0;;;;;;;0.488775;-1.114737;-24.244741;100.250641
-24.725395;-6.240979;-20.252577;0;;;;;;;0.496922;-1.114737;-24.228447;100.266365
-24.717249;-6.019031;-20.171106;0;;;;;;;0.505068;-1.114737;-24.212154;100.28183
-24.709103;-5.792993;-20.089634;0;;;;;;;0.513214;-1.114737;-24.195862;100.297615
-24.700956;-5.562314;-20.008163;0;;;;;;;0.52136;-1.114737;-24.179569;100.312195
-24.69281;-5.327713;-19.926693;0;;;;;;;0.529507;-1.114737;-24.163277;100.327507
-24.684664;-5.087243;-19.845222;0;;;;;;;0.537653;-1.114737;-24.146982;100.34227
-24.676517;-4.84019;-19.76375;0;;;;;;;0.545799;-1.114737;-24.13069;100.356995
-24.668373;-4.587989;-19.68228;0;;;;;;;0.553946;-1.114737;-24.114397;100.371887
-24.660227;-4.329814;-19.600807;0;;;;;;;0.56209;-1.114737;-24.098104;100.387131
-24.652081;-4.068186;-19.519337;0;;;;;;;0.570236;-1.114737;-24.081812;100.402145
-24.643934;-3.805137;-19.437866;0;;;;;;;0.578382;-1.114737;-24.065517;100.417099
-24.635788;-3.5407;-19.356396;0;;;;;;;0.586529;-1.114737;-24.049225;100.43158
-24.627642;-3.272196;-19.274923;0;;;;;;;0.594675;-1.114737;-24.032932;100.445335
-24.619495;-3.00224;-19.193453;0;;;;;;;0.602821;-1.114737;-24.01664;100.458672
-24.611349;-2.729157;-19.11198;0;;;;;;;0.610968;-1.114737;-24.000347;100.472519
-24.603203;-2.452018;-19.03051;0;;;;;;;0.619114;-1.114737;-23.984055;100.486015
-24.595057;-2.17506;-18.949039;0;;;;;;;0.62726;-1.114737;-23.96776;100.499245
-24.58691;-1.89833;-18.867569;0;;;;;;;0.635406;-1.114737;-23.951468;100.513206
-24.578764;-1.619821;-18.786097;0;;;;;;;0.643553;-1.114737;-23.935175;100.526054
-24.570618;-1.336586;-18.704626;0;;;;;;;0.651699;-1.114737;-23.918882;100.538528
-24.562471;-1.050711;-18.623154;0;;;;;;;0.659845;-1.114737;-23.90259;100.551643
-24.554325;-0.764282;-18.541683;0;;;;;;;0.667992;-1.114737;-23.886295;100.564896
-24.546179;-0.47805;-18.460213;0;;;;;;;0.676138;-1.114737;-23.870003;100.577942
-24.538033;-0.190146;-18.378742;0;;;;;;;0.684284;-1.114737;-23.85371;100.591621
-24.529886;0.098412;-18.29727;0;;;;;;;0.69243;-1.114737;-23.837418;100.605476
-24.52174;0.386948;-18.215799;0;;;;;;;0.700577;-1.114737;-23.821125;100.61869
-24.513594;0.673832;-18.134327;0;;;;;;;0.708723;-1.114737;-23.804831;100.631432
-24.505447;0.956466;-18.052856;0;;;;;;;0.716869;-1.114737;-23.788538;100.643822
-24.497301;1.236616;-17.971386;0;;;;;;;0.725016;-1.114737;-23.772245;100.655724
-24.489155;1.514602;-17.889915;0;;;;;;;0.733162;-1.114737;-23.755953;100.667519
-24.481009;1.786191;-17.808443;0;;;;;;;0.741308;-1.114737;-23.73966;100.679283
-24.472862;2.054236;-17.726973;0;;;;;;;0.749454;-1.114737;-23.723366;100.690598
-24.464716;feb.05;-17.6455;0;;;;;;;0.757601;-1.114737;-23.707073;100.701614
-24.45657;2.581606;-17.56403;0;;;;;;;0.765747;-1.114737;-23.690781;100.712936
-24.448423;2.836977;-17.482559;0;;;;;;;0.773893;-1.114737;-23.674488;100.724922
-24.440277;3.087413;-17.401089;0;;;;;;;0.78204;-1.114737;-23.658195;100.737038
-24.432131;3.334461;-17.319616;0;;;;;;;0.790186;-1.114737;-23.641903;100.749191
-24.423985;mar.45;-17.238146;0;;;;;;;0.798332;-1.114737;-23.625608;100.761505
-24.415838;3.80921;-17.156673;0;;;;;;;0.806479;-1.114737;-23.609316;100.773026
-24.407692;4.040417;-17.075203;0;;;;;;;0.814625;-1.114737;-23.593023;100.784874
-24.399546;4.264969;-16.993732;0;;;;;;;0.822771;-1.114737;-23.576731;100.796898
-24.391399;4.484847;-16.912262;0;;;;;;;0.830917;-1.114737;-23.560438;100.80899
-24.383253;4.70061;-16.83079;0;;;;;;;0.839064;-1.114737;-23.544144;100.820313
-24.375107;4.909354;-16.749317;0;;;;;;;0.84721;-1.114737;-23.527851;100.830864
-24.366961;5.110352;-16.667847;0;;;;;;;0.855356;-1.114737;-23.511559;100.840805
-24.358814;5.304172;-16.586376;0;;;;;;;0.863503;-1.114737;-23.495266;100.850029
-24.350668;5.49088;-16.504906;0;;;;;;;0.871649;-1.114737;-23.478973;100.859055
-24.342522;5.672376;-16.423435;0;;;;;;;0.879795;-1.114737;-23.462679;100.868355
-24.334375;5.847363;-16.341963;0;;;;;;;0.887941;-1.114737;-23.446386;100.877502
-24.326229;6.013557;-16.26049;0;;;;;;;0.896088;-1.114737;-23.430094;100.885971
-24.318083;6.172678;-16.17902;0;;;;;;;0.904234;-1.114737;-23.413801;100.895477
-24.309937;6.326247;-16.097549;0;;;;;;;0.91238;-1.114737;-23.397509;100.904907
-24.30179;6.47344;-16.016079;0;;;;;;;0.920527;-1.114737;-23.381214;100.914261
-24.293644;6.613243;-15.934608;0;;;;;;;0.928671;-1.114737;-23.364922;100.923378
-24.2855;6.745232;-15.853136;0;;;;;;;0.936817;-1.114737;-23.348629;100.933388
-24.277353;6.869115;-15.771665;0;;;;;;;0.944963;-1.114737;-23.332336;100.942902
-24.269207;6.984997;-15.690193;0;;;;;;;0.95311;-1.114737;-23.316044;100.952461
-24.261061;7.093515;-15.608723;0;;;;;;;0.961256;-1.114737;-23.299751;100.961586
-24.252914;7.194402;-15.527251;0;;;;;;;0.969402;-1.114737;-23.283457;100.969551
-24.244768;7.287193;-15.44578;0;;;;;;;0.977549;-1.114737;-23.267164;100.977325
-24.236622;7.37309;-15.364309;0;;;;;;;0.985695;-1.114737;-23.250872;100.985825
-24.228476;7.453372;-15.282838;0;;;;;;;0.993841;-1.114737;-23.234579;100.993904
-24.220329;7.526291;-15.201366;0;;;;;;;1.001987;-1.114737;-23.218287;101.002106
-24.212183;7.59184;-15.119896;0;;;;;;;1.010134;-1.114737;-23.201992;101.010666
-24.204037;7.652681;-15.038424;0;;;;;;;1.01828;-1.114737;-23.185699;101.018005
-24.19589;7.705945;-14.956953;0;;;;;;;1.026426;-1.114737;-23.169407;101.025032
-24.187744;7.75346;-14.875483;0;;;;;;;1.034573;-1.114737;-23.153114;101.031906
-24.179598;7.796069;-14.794011;0;;;;;;;1.042719;-1.114737;-23.136822;101.038689
-24.171452;7.832579;-14.71254;0;;;;;;;1.050865;-1.114737;-23.120527;101.045311
-24.163305;7.863458;-14.631069;0;;;;;;;1.059011;-1.114737;-23.104235;101.052437
-24.155159;7.887082;-14.549598;0;;;;;;;1.067158;-1.114737;-23.087942;101.059952
-24.147013;7.906529;-14.468126;0;;;;;;;1.075304;-1.114737;-23.07165;101.067207
-24.138866;jul.08;-14.386656;0;;;;;;;1.08345;-1.114737;-23.055357;101.074532
-24.13072;7.925578;-14.305184;0;;;;;;;1.091597;-1.114737;-23.039063;101.081673
-24.122574;7.927641;-14.223713;0;;;;;;;1.099743;-1.114737;-23.02277;101.088341
-24.114428;7.926156;-14.142242;0;;;;;;;1.107889;-1.114737;-23.006477;101.095001
-24.106281;7.91888;-14.060771;0;;;;;;;1.116035;-1.114737;-22.990185;101.101463
-24.098135;7.90871;-13.9793;0;;;;;;;1.124182;-1.114737;-22.973892;101.107643
-24.089989;7.896216;-13.897829;0;;;;;;;1.132328;-1.114737;-22.9576;101.114098
-24.081842;7.878436;-13.816358;0;;;;;;;1.140474;-1.114737;-22.941305;101.120674
-24.073696;7.857714;-13.734886;0;;;;;;;1.148621;-1.114737;-22.925013;101.127007
-24.06555;7.835175;-13.653415;0;;;;;;;1.156767;-1.114737;-22.90872;101.133095
-24.057404;7.80848;-13.571944;0;;;;;;;1.164913;-1.114737;-22.892427;101.138741
-24.049257;7.778745;-13.490473;0;;;;;;;1.173059;-1.114737;-22.876135;101.14402
-24.041111;7.746862;-13.409001;0;;;;;;;1.181206;-1.114737;-22.85984;101.148628
