# Result of 'intser'
# Date/time = Fri Mar 17 13:53:39 CET 2023
# Data set list (full path) = C:\Users\asleb\AppData\Local\Temp\topspin-dataset-list-1811826889879433.txt
# Region to calibrate = 4
# Value of region to calibrate = 1.0
# Global scaling = yes

# --- Integral info --- 
# A 1.0 #regions in PPM
# # low field   high field  bias        slope
#   8.279972626298933  8.268894055657086  -0.0  -0.0  # for region 1
#   8.213501202447848  8.184294061664795  -0.0  -0.0  # for region 2
#   8.043797643070459  8.005022645823992  -0.0  -0.0  # for region 3
#   7.975311933648128  7.947111935650699  -0.0  -0.0  # for region 4
#   5.23222165053627  5.0431504357168135  -0.0  -0.0  # for region 5
#   0.15224206583921476  0.07184457039603394  -0.0  -0.0  # for region 6

# Spectrum#; Integral 0; Integral 1; Integral 2; Integral 3; Integral 4; Integral 5;
0;9.394332809309854E-4;0.003692750536897582;0.005881196236437617;0.002662329289360116;1.0;0.08072989132544355;
1;9.941535855399325E-4;0.0040332798172809225;0.006313934124960492;0.0027867200931283452;1.0021422646515123;0.08164738644416956;
2;0.001090183170426158;0.004339959707334084;0.007137066287647703;0.003018979374896359;1.0014658668420833;0.08167871858552504;
3;9.8039460811113E-4;0.004644966602681566;0.007435510973371997;0.003383048420268803;1.0045919866294124;0.08172754679319048;
4;0.0011950579974807428;0.00526112316367203;0.008079357791783683;0.0035423386508988525;1.0099553055840553;0.08167361632655104;
5;0.0011354376795724946;0.005602743080616369;0.008502197525181715;0.003815990534955614;1.0136153389574578;0.0821328916391412;
6;0.0010741192807615658;0.005506928520275872;0.009187693136311303;0.004150389399523933;1.0178694969393338;0.08207725111435465;
7;0.0011879067809275785;0.006156719352741777;0.009274082312600525;0.004673849869095534;1.0222398845532232;0.08201953418806665;
8;0.001235010454012673;0.006623144797331468;0.009878518385441099;0.004421797955129273;1.0268779912598875;0.0821855571861668;
9;0.0013605836570098802;0.006594758869488508;0.01050619097264499;0.00491582651561376;1.0316584502044461;0.08224274164377708;
10;0.0013034304628368307;0.007067517069876932;0.010847007801203736;0.005426005352817174;1.0356532955630409;0.08202003553477064;
11;0.0013018927072533336;0.007509526524453678;0.011383661724217974;0.00552014338186407;1.0410226403919598;0.08200098817953407;
12;0.0013302172399299482;0.0076473408484975715;0.011849033689997113;0.005750315463748844;1.0458915482687687;0.08202005416080037;
13;0.0012515454643431362;0.007891473021777711;0.011964795690777881;0.006041380657958159;1.0505975372342746;0.08227463449935915;
14;0.0014473909523006312;0.008234496115346445;0.01255052245903283;0.006179124486016118;1.056528306530949;0.08260215290854571;
15;0.001468746567742894;0.00838515400640111;0.012988512086312591;0.006525463484421609;1.0615770466971441;0.0824814881123498;
16;0.001452025202806133;0.008900266619529865;0.013537506343453387;0.006847421764384375;1.0662240505630876;0.08226119617256872;
17;0.0014738686316092642;0.009132445738638287;0.013672061489530811;0.007060367598040477;1.0724049571593353;0.08209768528360216;
18;0.0013628766391557423;0.009406019110443154;0.014218008150971951;0.007188242884003135;1.0761639133766268;0.08258873622567336;
19;0.0015086546990395206;0.009324671458124666;0.014441728789167291;0.0072676369723073736;1.0822641633226817;0.0827265952050341;
20;0.0014990713945488498;0.009633721427940414;0.015204795212485958;0.007769275232603383;1.0870769792174668;0.08270130327292434;
21;0.0014343963022537827;0.009932946237806052;0.01506895331425857;0.008079702774146961;1.0914284146339122;0.08251599063973764;
22;0.0015340870101125722;0.010140904350782359;0.015229542368592029;0.008183973599138776;1.096595418677494;0.08257573285204298;
23;0.0015022711106837054;0.010323214892367358;0.016059387682474988;0.008266823735470542;1.102524200930455;0.08258611551971329;
24;0.0016031908535775526;0.01080143051946628;0.01650991031719136;0.008647195083688103;1.1073416588090845;0.08283677411234683;
25;0.0015543542995646138;0.011012757350325662;0.016791136818107448;0.008759736903278567;1.112287854146658;0.08283840089563699;
26;0.001665276927740336;0.011029666767430925;0.017120147620243067;0.009186994070765158;1.11725444923069;0.08318673061580717;
27;0.001663652455020963;0.011351187972280893;0.017360165704369445;0.009332732285091669;1.1227921283358033;0.08272975158617828;
28;0.00155771415240063;0.011384500885800381;0.01760947704562229;0.00954960255247984;1.1264279506526742;0.08286454241047489;
29;0.0016644357856686908;0.011988488566446805;0.017836950003604104;0.009789342566486446;1.1271378860196875;0.08330194246497061;
30;0.0017829912665182066;0.012010424276617478;0.018514669931062308;0.010093061436512313;1.131528193441477;0.08358037350532871;
31;0.0016198547843264415;0.012272052091817023;0.01872112037302972;0.010326288988899182;1.1339763356491288;0.08378639045592576;
32;0.0017078750821203318;0.01261434410193028;0.019033830852809457;0.010459510228321;1.1383384897562516;0.0841944199965007;
33;0.001825883617858904;0.012490812547563863;0.01933828231523498;0.010641067288060342;1.1420575121430407;0.08448995058093081;
34;0.001596422390146686;0.012904418815748582;0.01977952725381175;0.011110484968960064;1.1456329184568752;0.08407725854430148;
35;0.0016396128994265588;0.012890064182604508;0.02019914383528562;0.011003795919455401;1.151243480226072;0.08417877243396642;
36;0.001706073591386778;0.013438472922248744;0.02063324745975541;0.011523019981085604;1.1562429599192487;0.08447061468727422;
37;0.0018764397552290962;0.01367572624340031;0.02102881580920584;0.01173742774588013;1.143804454874549;0.08513508268970278;
38;0.0017973243500532027;0.0147212221262285;0.021722033206406862;0.012388237587212964;1.1132880691138167;0.08690378500930328;
39;0.0017726052037234834;0.014710832338227831;0.022324610920180076;0.012547944946599924;1.1152282236598334;0.08696679432153204;
40;0.0017412392054329483;0.01671280846878523;0.024166995880052417;0.015260373776252098;1.0273284368441418;0.09472849404134048;
41;0.0018195056880437657;0.01734009033375537;0.02507569668347617;0.016071609140092823;1.010008384346014;0.09615184076975065;
42;0.0017495212813404234;0.017522064710869645;0.025495339105619134;0.01634711754419122;1.0091648818141252;0.09648339899974458;
43;0.0018283079253029796;0.01760905468271525;0.02530147830364961;0.01682429001931633;1.0087630710097544;0.09663620397690464;
44;0.0019015435880158445;0.0183621880565749;0.026052354674251203;0.017206156636907805;1.0100352302077025;0.09716213133443892;
45;0.001963279068429178;0.0184792883493803;0.02658356484536158;0.017831205971808314;1.0105703436873266;0.09723053116113467;
46;0.001978326212643114;0.01877088455047765;0.026753839152226906;0.017941179426939964;1.0105670114198764;0.09783807042483704;
