# Result of 'intser'
# Date/time = Fri Mar 17 13:51:24 CET 2023
# Data set list (full path) = C:\Users\asleb\AppData\Local\Temp\topspin-dataset-list-6369100458642365952.txt
# Region to calibrate = 4
# Value of region to calibrate = 1.0
# Global scaling = yes

# --- Integral info --- 
# A 1.0 #regions in PPM
# # low field   high field  bias        slope
#   8.282308247245343  8.253930839075405  -0.0  -0.0  # for region 1
#   8.203853059951987  8.16991145410167  -0.0  -0.0  # for region 2
#   8.049724784205466  8.0180088574273  -0.0  -0.0  # for region 3
#   7.971826016680149  7.950682065494706  -0.0  -0.0  # for region 4
#   5.251472786340299  5.059782732589915  -0.0  -0.0  # for region 5
#   0.16508258891107325  0.1393682765095481  -0.0  -0.0  # for region 6

# Spectrum#; Integral 0; Integral 1; Integral 2; Integral 3; Integral 4; Integral 5;
0;0.0019058493462849894;0.0035119015044414044;0.004274446888126869;0.001555335951986152;1.0;0.26726480016489884;
1;0.0019076371956195345;0.0037899029370135075;0.004583763476990912;0.001625685405051682;1.0012715092099957;0.2692707745648099;
2;0.0020286715642952213;0.004082122920446299;0.004929021636763406;0.0018661417007275695;1.0019431484461088;0.26793371200747956;
3;0.0020933020657597536;0.004361638560387401;0.005378658711547222;0.0017176722804308376;1.0006662641798025;0.2684099597479739;
4;0.0021394726411153187;0.004671035406529409;0.0053497754936912495;0.00196862490423321;1.0025435913531557;0.2669488412520399;
5;0.002213243747015569;0.004987347992978795;0.006023422365236529;0.002037092109760028;1.0034670384382356;0.2661585640829362;
6;0.0021706575203637385;0.005192845963423423;0.0064126151792354424;0.0022094686462434923;1.0028059724779486;0.26885369005257836;
7;0.0022829749858659185;0.005317204502804268;0.0065750542550481695;0.0020769652342410875;1.0031326381780379;0.26755899446232606;
8;0.002256746275598209;0.005774941695682568;0.007153012337257082;0.002257927945548384;1.0038552780184167;0.2690585946306464;
9;0.0022125488107539735;0.00592552623749419;0.007252636666703764;0.0022447542436550964;1.0025844183884138;0.26665295004346845;
