180	-5.86569
181	-5.37341
182	-4.84977
183	-4.38286
184	-3.96213
185	-3.62279
186	-3.31973
187	-2.97575
188	-2.66413
189	-2.38103
190	-2.12404
191	-1.77988
192	-1.50857
193	-1.202
194	-0.94692
195	-0.56936
196	-0.172789
197	0.282968
198	0.683188
199	1.05112
200	1.48699
201	1.85056
202	2.23311
203	2.42514
204	2.80521
205	3.09471
206	3.39658
207	3.60267
208	3.91321
209	4.15875
210	4.62042
211	4.90995
212	5.3998
213	5.71296
214	5.84415
215	6.08014
216	6.09323
217	5.67778
218	4.74126
219	3.28415
220	0.844269
221	-2.34728
222	-7.18167
223	-12.3025
224	-17.6384
225	-22.2409
226	-26.3465
227	-28.5875
228	-29.6166
229	-29.5934
230	-28.446
231	-26.6138
232	-24.3829
233	-21.9736
234	-19.5487
235	-17.0422
236	-14.7358
237	-12.6841
238	-10.7619
239	-9.05225
240	-7.62823
241	-6.36766
242	-5.26723
243	-4.32735
244	-3.64158
245	-2.97554
246	-2.44673
247	-2.01268
248	-1.61446
249	-1.33794
250	-1.11307
251	-0.955211
252	-0.820749
253	-0.733518
254	-0.63839
255	-0.584712
256	-0.551585
257	-0.527273
258	-0.473354
259	-0.512195
260	-0.501352

