Chrom.1;;Chrom.1;;Chrom.1;;Chrom.1;;Chrom.1;;Chrom.1;;Chrom.1;;;;;;;
UV 1_280;;Conc B;;Injection;;Run Log;;Fraction;;UV 1_280_CUT_TEMP@100,BASEM;;Cond;;;;;;;
ml;mAU;ml;%;ml;Injection;ml;Logbook;ml;Fraction;ml;mAU;ml;mS/cm;;;;;;
-24.599743;1.008087;-22.189051;0;;;;;;;0.602589;0.086893;-24.599743;0.032263;;;;;;
-24.58769;1.01775;-22.128784;0;;;;;;;0.614641;0.087599;-24.58769;0.032279;;;;;;
-24.575638;1.029859;-22.06852;0;;;;;;;0.626694;0.088305;-24.575638;0.032279;;;;;;
-24.563587;1.03983;-22.008253;0;;;;;;;0.638744;0.089011;-24.563587;0.032227;;;;;;
-24.551535;1.057401;-21.947989;0;;;;;;;0.650797;0.089716;-24.551535;0.032179;;;;;;
-24.539482;1.072625;-21.887722;0;;;;;;;0.662849;0.090422;-24.539482;0.032186;;;;;;
-24.527431;1.084043;-21.827457;0;;;;;;;0.6749;0.091128;-24.527431;0.032172;;;;;;
-24.515379;1.098481;-21.767191;0;;;;;;;0.686953;0.091834;-24.515379;0.032164;;;;;;
-24.503328;1.118386;-21.706924;0;;;;;;;0.699003;0.09254;-24.503328;0.032177;;;;;;
-24.491276;1.138112;-21.64666;0;;;;;;;0.711056;0.093245;-24.491276;0.03217;;;;;;
-24.479223;1.154677;-21.586393;0;;;;;;;0.723108;0.093951;-24.479223;0.032128;;;;;;
-24.467173;1.175257;-21.526129;0;;;;;;;0.735159;0.094727;-24.467173;0.032146;;;;;;
-24.45512;1.193248;-21.465862;0;;;;;;;0.747211;0.095503;-24.45512;0.032153;;;;;;
-24.443069;1.212244;-21.405598;0;;;;;;;0.759262;0.096279;-24.443069;0.032126;;;;;;
-24.431017;1.236307;-21.345331;0;;;;;;;0.771315;0.097055;-24.431017;0.032128;;;;;;
-24.418964;1.263358;-21.285067;0;;;;;;;0.783367;0.097831;-24.418964;0.032137;;;;;;
-24.406914;1.287465;-21.2248;0;;;;;;;0.795418;0.098607;-24.406914;0.032138;;;;;;
-24.394861;1.310287;-21.164536;0;;;;;;;0.80747;0.099383;-24.394861;0.032173;;;;;;
