Chrom.1;;Chrom.1;;Chrom.1;;Chrom.1;;Chrom.1;;Chrom.1;;Chrom.1;;Chrom.1;
UV 1_280;;Conc B;;Cond;;Injection;;Run Log;;Fraction;;UV 1_280_CUT_TEMP@100,BASEM;;% Cond;
ml;mAU;ml;%;ml;mS/cm;ml;Injection;ml;Logbook;ml;Fraction;ml;mAU;ml;%
-24.853804;-0.486397;-21.537853;0;-24.485392;0.033885;;;;;;;0.368414;0.119418;-21.537853;0.485894
-24.845617;-0.48398;-21.455978;0;-24.469017;0.033913;;;;;;;0.3766;0.120219;-21.455978;0.576637
-24.837431;-0.484503;-21.374104;0;-24.452642;0.033948;;;;;;;0.384787;0.12102;-21.374104;0.680723
-24.829243;-0.498577;-21.292229;0;-24.43627;0.033981;;;;;;;0.392975;0.121821;-21.292229;0.796604
-24.821056;-0.518438;-21.210354;0;-24.419895;0.033968;;;;;;;0.401161;0.122622;-21.210354;0.924551
-24.81287;-0.540516;-21.128479;0;-24.403521;0.033924;;;;;;;0.409348;0.123424;-21.128479;1.062114
-24.804682;-0.560946;-21.046604;0;-24.387148;0.033913;;;;;;;0.417536;0.124174;-21.046604;1.205823
-24.796495;-0.581075;-20.964731;0;-24.370773;0.033939;;;;;;;0.425722;0.124925;-20.964731;1.355128
-24.788309;-0.609563;-20.882856;0;-24.354399;0.033979;;;;;;;0.433908;0.125675;-20.882856;1.503657
-24.780121;-0.643458;-20.800982;0;-24.338026;0.034013;;;;;;;0.442097;0.126426;-20.800982;1.646767
-24.771935;-0.678479;-20.719107;0;-24.321651;0.034018;;;;;;;0.450283;0.127176;-20.719107;1.781132
-24.763748;-0.708952;-20.637232;0;-24.305277;0.034011;;;;;;;0.458469;0.127927;-20.637232;1.905144
-24.75556;-0.735083;-20.555357;0;-24.288904;0.033987;;;;;;;0.466658;0.128677;-20.555357;2.014121
-24.747374;-0.768362;-20.473482;0;-24.27253;0.033961;;;;;;;0.474844;0.129428;-20.473482;2.108112
-24.739187;-0.800542;-20.391607;0;-24.256155;0.033957;;;;;;;0.48303;0.130178;-20.391607;2.186376
-24.730999;-0.840357;-20.309732;0;-24.239782;0.033984;;;;;;;0.491219;0.130929;-20.309732;2.248433
-24.722813;-0.868831;-20.227858;0;-24.223408;0.034027;;;;;;;0.499405;0.131756;-20.227858;2.296221
-24.714626;-0.894442;-20.145983;0;-24.207035;0.034028;;;;;;;0.507591;0.132584;-20.145983;2.33099
-24.706438;-0.924798;-20.064108;0;-24.19066;0.034019;;;;;;;0.515779;0.133411;-20.064108;2.353813
-24.698252;-0.952126;-19.982233;0;-24.174286;0.034041;;;;;;;0.523966;0.134239;-19.982233;2.36699
-24.690065;-0.98063;-19.900358;0;-24.157913;0.034072;;;;;;;0.532152;0.135067;-19.900358;2.372101
-24.681877;-1.007291;-19.818483;0;-24.141539;0.034081;;;;;;;0.54034;0.135894;-19.818483;2.37119
-24.673691;-1.035694;-19.73661;0;-24.125164;0.03412;;;;;;;0.548527;0.136722;-19.73661;2.366159
-24.665504;-1.059303;-19.654736;0;-24.108791;0.034178;;;;;;;0.556713;0.137549;-19.654736;2.358393
-24.657316;-1.081814;-19.572861;0;-24.092417;0.034211;;;;;;;0.564901;0.138377;-19.572861;2.34922
-24.64913;-1.101914;-19.490986;0;-24.076042;0.03422;;;;;;;0.573088;0.139204;-19.490986;2.339664
-24.640944;-1.122591;-19.409111;0;-24.059669;0.034182;;;;;;;0.581274;0.13992;-19.409111;2.330423
-24.632755;-1.140174;-19.327236;0;-24.043295;0.034152;;;;;;;0.589462;0.140636;-19.327236;2.322041
-24.624569;-1.156679;-19.245361;0;-24.02692;0.034161;;;;;;;0.597649;0.140257;-19.245361;2.314799
-24.616383;-1.171923;-19.163486;0;-24.010548;0.034184;;;;;;;0.605835;0.139709;-19.163486;2.308664
-24.608194;-1.185997;-19.081612;0;-23.994173;0.034183;;;;;;;0.614023;0.139056;-19.081612;2.303684
-24.600008;-1.199465;-18.999737;0;-23.977798;0.034175;;;;;;;0.62221;0.137719;-18.999737;2.29964
-24.591822;-1.211416;-18.917862;0;-23.961426;0.034163;;;;;;;0.630396;0.13715;-18.917862;2.296671
-24.583633;-1.223225;-18.835987;0;-23.945051;0.034183;;;;;;;0.638584;0.136612;-18.835987;2.294427
-24.575447;-1.234038;-18.754112;0;-23.928677;0.034175;;;;;;;0.64677;0.136906;-18.754112;2.292758
-24.567261;-1.242544;-18.672237;0;-23.912304;0.034195;;;;;;;0.654957;0.136492;-18.672237;2.291732
-24.559072;-1.250661;-18.590363;0;-23.895929;0.034216;;;;;;;0.663145;0.136521;-18.590363;2.291083
-24.550886;-1.260133;-18.508488;0;-23.879555;0.034208;;;;;;;0.671331;0.136056;-18.508488;2.290599
-24.5427;-1.269415;-18.426613;0;-23.863182;0.034262;;;;;;;0.679518;0.135618;-18.426613;2.290292
-24.534512;-1.277323;-18.344738;0;-23.846807;0.03427;;;;;;;0.687706;0.13475;-18.344738;2.29012
-24.526325;-1.284186;-18.262863;0;-23.830433;0.03432;;;;;;;0.695892;0.134184;-18.262863;2.290062
-24.518139;-1.291619;-18.180988;0;-23.81406;0.03431;;;;;;;0.704079;0.134195;-18.180988;2.290039
-24.509953;-1.301812;-18.099113;0;-23.797686;0.034313;;;;;;;0.712267;0.133651;-18.099113;2.29003
-24.501764;-1.311051;-18.017239;0;-23.781311;0.034337;;;;;;;0.720453;0.132166;-18.017239;2.290012
-24.493578;-1.316661;-17.935364;0;-23.764938;0.03433;;;;;;;0.72864;0.130619;-17.935364;2.290031
-24.48539;-1.321435;-17.853489;0;-23.748564;0.034363;;;;;;;0.736826;0.12983;-17.853489;2.290154
-24.477203;-1.325701;-17.771614;0;-23.732191;0.034378;;;;;;;0.745014;0.128828;-17.771614;2.290366
-24.469017;-1.33122;-17.689741;0;-23.715816;0.034367;;;;;;;0.753201;0.126785;-17.689741;2.290585
-24.460831;-1.33745;-17.607866;0;-23.699442;0.034383;;;;;;;0.761387;0.125798;-17.607866;2.290735
-24.452642;-1.34315;-17.525991;0;-23.683069;0.034383;;;;;;;0.769575;0.124862;-17.525991;2.290935
-24.444456;-1.346482;-17.444117;0;-23.666695;0.034392;;;;;;;0.777761;0.123754;-17.444117;2.291163
-24.43627;-1.350892;-17.362242;0;-23.65032;0.034376;;;;;;;0.785948;0.122182;-17.362242;2.291366
-24.428082;-1.355201;-17.280367;0;-23.633947;0.034383;;;;;;;0.794136;0.121207;-17.280367;2.291543
-24.419895;-1.357961;-17.198492;0;-23.617573;0.034431;;;;;;;0.802322;0.121862;-17.198492;2.291654
-24.411709;-1.359555;-17.116617;0;-23.601198;0.034458;;;;;;;0.810509;0.121792;-17.116617;2.291816
-24.403521;-1.362879;-17.034742;0;-23.584826;0.034468;;;;;;;0.818697;0.120468;-17.034742;2.292027
-24.395334;-1.365797;-16.952868;0;-23.568451;0.034482;;;;;;;0.826883;0.119641;-16.952868;2.292257
-24.387148;-1.369284;-16.870993;0;-23.552076;0.034505;;;;;;;0.83507;0.118834;-16.870993;2.292365
-24.37896;-1.372771;-16.789118;0;-23.535704;0.034542;;;;;;;0.843258;0.11812;-16.789118;2.292302
-24.370773;-1.374699;-16.707245;0;-23.519329;0.034559;;;;;;;0.851444;0.116159;-16.707245;2.292315
-24.362587;-1.377242;-16.62537;0;-23.502954;0.034579;;;;;;;0.859631;0.114151;-16.62537;2.292438
-24.354399;-1.37772;-16.543495;0;-23.486582;0.034617;;;;;;;0.867819;0.11231;-16.543495;2.292453
-24.346212;-1.380201;-16.46162;0;-23.470207;0.034671;;;;;;;0.876005;0.111595;-16.46162;2.292498
-24.338026;-1.381535;-16.379745;0;-23.453833;0.034712;;;;;;;0.884192;0.111015;-16.379745;2.292684
-24.329838;-1.382168;-16.297871;0;-23.43746;0.034736;;;;;;;0.89238;0.1107;-16.297871;2.292984
-24.321651;-1.382432;-16.215996;0;-23.421085;0.034774;;;;;;;0.900566;0.110141;-16.215996;2.293273
-24.313465;-1.382408;-16.134121;0;-23.404713;0.034825;;;;;;;0.908752;0.109341;-16.134121;2.293406
-24.305277;-1.38488;-16.052246;0;-23.388338;0.034873;;;;;;;0.916941;0.108143;-16.052246;2.293582
-24.297091;-1.38364;-15.97037;0;-23.371964;0.03491;;;;;;;0.925127;0.107397;-15.97037;2.293526
-24.288904;-1.383901;-15.888496;0;-23.355591;0.034946;;;;;;;0.933313;0.106976;-15.888496;2.293636
-24.280716;-1.382107;-15.806622;0;-23.339216;0.034983;;;;;;;0.941502;0.106445;-15.806622;2.293575
-24.27253;-1.38073;-15.724747;0;-23.322842;0.035033;;;;;;;0.949688;0.106266;-15.724747;2.293447
-24.264343;-1.377971;-15.642872;0;-23.306469;0.035107;;;;;;;0.957874;0.106088;-15.642872;2.293607
-24.256155;-1.376449;-15.560997;0;-23.290094;0.035183;;;;;;;0.966063;0.105482;-15.560997;2.293851
-24.247969;-1.376573;-15.479122;0;-23.27372;0.035254;;;;;;;0.974249;0.104863;-15.479122;2.294006
-24.239782;-1.378237;-15.397247;0;-23.257347;0.03533;;;;;;;0.982435;0.104254;-15.397247;2.294385
-24.231594;-1.377667;-15.315372;0;-23.240973;0.035418;;;;;;;0.990623;0.104202;-15.315372;2.294557
-24.223408;-1.376913;-15.233498;0;-23.224598;0.035525;;;;;;;0.99881;0.104502;-15.233498;2.294665
-24.215221;-1.375355;-15.151623;0;-23.208225;0.03564;;;;;;;1.006996;0.103813;-15.151623;2.294908
-24.207033;-1.374818;-15.069749;0;-23.191851;0.035759;;;;;;;1.015184;0.103036;-15.069749;2.29502
-24.198847;-1.374658;-14.987874;0;-23.175476;0.035915;;;;;;;1.023371;0.102353;-14.987874;2.294955
-24.19066;-1.373705;-14.905999;0;-23.159103;0.036102;;;;;;;1.031557;0.102895;-14.905999;2.294951
-24.182472;-1.372302;-14.824124;0;-23.142729;0.036301;;;;;;;1.039745;0.102276;-14.824124;2.29497
-24.174286;-1.370764;-14.742249;0;-23.126354;0.036551;;;;;;;1.047932;0.101075;-14.742249;2.295078
-24.1661;-1.369584;-14.660375;0;-23.109982;0.036809;;;;;;;1.056118;0.100137;-14.660375;2.29522
-24.157911;-1.367589;-14.5785;0;-23.093607;0.037058;;;;;;;1.064306;0.10037;-14.5785;2.295458
-24.149725;-1.367375;-14.496625;0;-23.077232;0.037359;;;;;;;1.072493;0.099593;-14.496625;2.29569
-24.141539;-1.366364;-14.41475;0;-23.06086;0.037735;;;;;;;1.080679;0.098503;-14.41475;2.295741
-24.13335;-1.364658;-14.332876;0;-23.044485;0.038183;;;;;;;1.088867;0.097886;-14.332876;2.295772
-24.125164;-1.362009;-14.251001;0;-23.028111;0.038629;;;;;;;1.097054;0.097763;-14.251001;2.29581
-24.116978;-1.358736;-14.169127;0;-23.011738;0.039123;;;;;;;1.10524;0.096642;-14.169127;2.295781
-24.108789;-1.354206;-14.087252;0;-22.995363;0.039642;;;;;;;1.113428;0.096631;-14.087252;2.295812
-24.100603;-1.34762;-14.005377;0;-22.978989;0.040247;;;;;;;1.121614;0.096877;-14.005377;2.295755
-24.092417;-1.34246;-13.923502;0;-22.962616;0.040844;;;;;;;1.129801;0.096969;-13.923502;2.295586
-24.084229;-1.336897;-13.841627;0;-22.946241;0.041516;;;;;;;1.137989;0.096087;-13.841627;2.295448
-24.076042;-1.331829;-13.759752;0;-22.929867;0.042234;;;;;;;1.146175;0.095534;-13.759752;2.29525
-24.067856;-1.328873;-13.677877;0;-22.913494;0.042998;;;;;;;1.154362;0.094427;-13.677877;2.295118
-24.059669;-1.327147;-13.596003;0;-22.89712;0.043827;;;;;;;1.16255;0.093998;-13.596003;2.295057
-24.051481;-1.324394;-13.514129;0;-22.880747;0.044719;;;;;;;1.170736;0.093852;-13.514129;2.29501
-24.043295;-1.317357;-13.432254;0;-22.864372;0.045642;;;;;;;1.178923;0.093459;-13.432254;2.294973
-24.035107;-1.308596;-13.350379;0;-22.847998;0.046625;;;;;;;1.187111;0.093382;-13.350379;2.294947
-24.02692;-1.30031;-13.268504;0;-22.831625;0.047656;;;;;;;1.195297;0.093075;-13.268504;2.294889
-24.018734;-1.291862;-13.186629;0;-22.81525;0.048796;;;;;;;1.203484;0.091753;-13.186629;2.294735
-24.010548;-1.283438;-13.104754;0;-22.798876;0.050031;;;;;;;1.21167;0.091093;-13.104754;2.29455
-24.002359;-1.273283;-13.02288;0;-22.782503;0.051341;;;;;;;1.219858;0.089774;-13.02288;2.294411
-23.994173;-1.262475;-12.941005;0;-22.766129;0.052678;;;;;;;1.228045;0.089352;-12.941005;2.294367
-23.985985;-1.251607;-12.85913;0;-22.749754;0.054068;;;;;;;1.236231;0.088425;-12.85913;2.294366
-23.977798;-1.238629;-12.777255;0;-22.733381;0.055552;;;;;;;1.244419;0.087047;-12.777255;2.294322
-23.969612;-1.224202;-12.695381;0;-22.717007;0.057126;;;;;;;1.252605;0.087908;-12.695381;2.294342
-23.961426;-1.208845;-12.613506;0;-22.700632;0.058736;;;;;;;1.260792;0.088295;-12.613506;2.294435
-23.953238;-1.194507;-12.531631;0;-22.684259;0.06044;;;;;;;1.26898;0.088247;-12.531631;2.294491
-23.945051;-1.178805;-12.449757;0;-22.667885;0.062217;;;;;;;1.277166;0.089144;-12.449757;2.294487
-23.936865;-1.159591;-12.367882;0;-22.65151;0.064072;;;;;;;1.285353;0.090008;-12.367882;2.294434
-23.928677;-1.140058;-12.286007;0;-22.635138;0.066;;;;;;;1.293541;0.090542;-12.286007;2.294268
-23.92049;-1.119261;-12.204132;0;-22.618763;0.068015;;;;;;;1.301727;0.08985;-12.204132;2.294137
-23.912304;-1.097741;-12.122257;0;-22.60239;0.070141;;;;;;;1.309914;0.089925;-12.122257;2.294141
-23.904116;-1.075123;-12.040382;0;-22.586016;0.072385;;;;;;;1.318102;0.089797;-12.040382;2.29422
-23.895929;-1.052392;-11.958508;0;-22.569641;0.074772;;;;;;;1.326288;0.088878;-11.958508;feb.42
-23.887743;-1.030586;-11.876634;0;-22.553268;0.077189;;;;;;;1.334475;0.088325;-11.876634;2.294178
-23.879555;-1.004699;-11.794759;0;-22.536894;0.079679;;;;;;;1.342663;0.088223;-11.794759;2.294156
-23.871368;-0.978735;-11.712884;0;-22.520519;0.082274;;;;;;;1.350849;0.088129;-11.712884;2.294052
-23.863182;-0.948307;-11.631009;0;-22.504147;0.08498;;;;;;;1.359035;0.087642;-11.631009;2.293955
-23.854994;-0.916702;-11.549134;0;-22.487772;0.087771;;;;;;;1.367224;0.087039;-11.549134;2.293856
-23.846807;-0.8826;-11.467259;0;-22.471397;0.090666;;;;;;;1.37541;0.086101;-11.467259;2.293696
-23.838621;-0.846239;-11.385385;0;-22.455025;0.09368;;;;;;;1.383596;0.085425;-11.385385;2.293613
-23.830433;-0.81236;-11.30351;0;-22.43865;0.096799;;;;;;;1.391785;0.084949;-11.30351;2.293608
-23.822247;-0.774884;-11.221635;0;-22.422276;0.100063;;;;;;;1.399971;0.085238;-11.221635;2.293614
-23.81406;-0.733532;-11.13976;0;-22.405903;0.103467;;;;;;;1.408157;0.085979;-11.13976;2.293483
-23.805872;-0.691997;-11.057886;0;-22.389528;0.107011;;;;;;;1.416346;0.086741;-11.057886;2.293337
-23.797686;-0.649661;-10.976011;0;-22.373154;0.110711;;;;;;;1.424532;0.087925;-10.976011;2.293247
-23.789499;-0.607723;-10.894136;0;-22.356781;0.114518;;;;;;;1.432718;0.088345;-10.894136;2.29311
-23.781311;-0.562392;-10.812262;0;-22.340406;0.118452;;;;;;;1.440907;0.08816;-10.812262;2.293033
-23.773125;-0.518555;-10.730387;0;-22.324032;0.122557;;;;;;;1.449093;0.089011;-10.730387;2.293068
-23.764938;-0.47314;-10.648512;0;-22.307659;0.126802;;;;;;;1.457279;0.0893;-10.648512;2.293138
-23.75675;-0.428326;-10.566637;0;-22.291285;0.131203;;;;;;;1.465467;0.088816;-10.566637;2.293129
-23.748564;-0.381245;-10.484762;0;-22.27491;0.135766;;;;;;;1.473654;0.088706;-10.484762;2.293096
-23.740377;-0.333762;-10.402887;0;-22.258537;0.140459;;;;;;;1.48184;0.087936;-10.402887;2.293108
-23.732189;-0.287409;-10.321012;0;-22.242163;0.145324;;;;;;;1.490028;0.087023;-10.321012;2.293101
-23.724003;-0.240505;-10.239139;0;-22.225788;0.150378;;;;;;;1.498215;0.086336;-10.239139;2.292992
-23.715816;-0.193195;-10.157264;0;-22.209415;0.155606;;;;;;;1.506401;0.086113;-10.157264;2.29293
-23.707628;-0.144918;-10.075389;0;-22.193041;0.161013;;;;;;;1.514589;0.086888;-10.075389;2.292756
-23.699442;-0.097614;-9.993514;0;-22.176666;0.166605;;;;;;;1.522776;0.086902;-9.993514;2.29268
-23.691256;-0.051783;-9.911639;0;-22.160294;0.172389;;;;;;;1.530962;0.086318;-9.911639;2.292492
-23.683067;-0.004007;-9.829764;0;-22.143919;0.178397;;;;;;;1.53915;0.086123;-9.829764;2.292305
-23.674881;0.041375;-9.74789;0;-22.127544;0.18466;;;;;;;1.547337;0.086115;-9.74789;2.292085
-23.666695;0.08735;-9.666015;0;-22.111172;0.191149;;;;;;;1.555523;0.086091;-9.666015;2.291963
-23.658506;0.132989;-9.58414;0;-22.094797;0.197871;;;;;;;1.563711;0.086388;-9.58414;2.291949
-23.65032;0.176608;-9.502266;0;-22.078423;0.204793;;;;;;;1.571898;0.087188;-9.502266;2.291931
-23.642134;0.219639;-9.420391;0;-22.06205;0.211904;;;;;;;1.580084;0.086873;-9.420391;2.29202
-23.633945;0.26003;-9.338516;0;-22.045675;0.219268;;;;;;;1.588272;0.088403;-9.338516;2.292049
-23.625759;0.297518;-9.256641;0;-22.029303;0.226866;;;;;;;1.596458;0.088997;-9.256641;2.292029
-23.617573;0.334781;-9.174767;0;-22.012928;0.234814;;;;;;;1.604645;0.089052;-9.174767;2.291978
-23.609385;0.368766;-9.092892;0;-21.996553;0.243074;;;;;;;1.612833;0.087546;-9.092892;2.291964
-23.601198;0.401004;-9.011017;0;-21.980181;0.251635;;;;;;;1.621019;0.087604;-9.011017;2.291922
-23.593012;0.432546;-8.929142;0;-21.963806;0.260477;;;;;;;1.629206;0.086734;-8.929142;2.291862
-23.584824;0.461211;-8.847267;0;-21.947432;0.269573;;;;;;;1.637394;0.087219;-8.847267;2.291824
-23.576637;0.487752;-8.765392;0;-21.931059;0.279024;;;;;;;1.64558;0.088307;-8.765392;2.291861
-23.568451;0.513001;-8.683517;0;-21.914684;0.288771;;;;;;;1.653767;0.088303;-8.683517;2.291897
-23.560265;0.536684;-8.601643;0;-21.89831;0.298834;;;;;;;1.661955;0.08792;-8.601643;2.291898
-23.552076;0.558866;-8.519768;0;-21.881937;0.309266;;;;;;;1.670141;0.087875;-8.519768;2.29196
