# Result of 'intser'
# Date/time = Tue Apr 23 15:43:49 CEST 2024
# Data set list (full path) = C:\Users\Bruker\AppData\Local\Temp\topspin-dataset-list-5940593709117529472.txt
# Region to calibrate = 0
# Value of region to calibrate = 1.0
# Global scaling = yes

# --- Integral info --- 
# A 1.0 #regions in PPM
# # low field   high field  bias        slope
#   8.1836689640786  8.128402428843064  -0.0  -0.0  # for region 1
#   8.015566586070513  7.976803252328922  -0.0  -0.0  # for region 2
#   7.952240347779795  7.910790446353143  -0.0  -0.0  # for region 3
#   0.13617261910248943  -0.030407478052012202  -0.0  -0.0  # for region 4

# Spectrum#; Integral 0; Integral 1; Integral 2; Integral 3;
68;-35.02763297402368;-42.317436826294404;-79.44745727412719;-140.58109395905385;
69;-34.78404816600611;-42.16971070103249;-78.72546891172091;-138.96270163835106;
70;-35.50200060586172;-42.77865221013304;-80.96934718400526;-139.70292896271428;
71;-35.723679726352465;-43.20360109055108;-82.15532779643047;-145.14146555423724;
72;-37.2551466690228;-44.73054300355944;-85.04479905586551;-140.62469391361424;
73;-36.23870635902355;-43.45999419382526;-84.56372907883777;-142.33294309948755;
74;-35.74175460076238;-43.575988311917804;-84.84632570115872;-139.54830484941812;
75;-37.618543786130815;-45.14775452502966;-87.08149155580239;-142.66398972559514;
76;-38.04049806881579;-45.6849014212506;-89.16759965162952;-144.6394681039053;
77;-39.55708984424305;-46.72784818115265;-90.38818695882665;-139.4926760154495;
78;-40.28997109534749;-47.48735894782016;-91.89094489182844;-141.4329134375079;
79;-39.12708264963522;-46.57843069194457;-91.85664743897206;-141.50378979123016;
80;-39.80104069371166;-47.34281990760609;-94.23420026254009;-144.3187905485573;
81;-41.02914447277409;-48.197365763764424;-96.74118029434783;-145.01287140585163;
82;-40.03858266225734;-48.27491921843839;-95.92941079948503;-141.1890824981698;
83;-41.202850074470504;-49.31583381718123;-98.56794171105446;-142.92746383762906;
84;-41.38221669653902;-49.47193787393028;-98.6984417994093;-142.90241839800066;
85;-41.985042788983414;-49.86665046828062;-101.00452502966199;-144.21509352990182;
86;-42.49644056244163;-50.225225935930126;-101.70855527225912;-144.5456573599576;
87;-43.389158861989756;-50.630190846439305;-103.12991315982127;-143.7252606467574;
88;-43.38791242773837;-51.16584202155858;-105.06100270113348;-141.23648486607934;
89;-43.63839522379017;-52.09875230353672;-105.78413020977962;-141.5791722414359;
90;-43.91352270719209;-52.200685381061774;-107.4021880443289;-138.33488059475425;
91;-44.89196097240805;-52.96171080200944;-109.42483843687678;-143.56797011082222;
92;-45.20707217327645;-53.308329967434936;-109.7508772372706;-142.42241814555828;
93;-45.50962752126827;-53.507002120516;-110.74435791280641;-141.55671118067303;
94;-45.15498384368768;-53.61011221063792;-111.742985257365;-140.28942203317095;
95;-46.17760268093808;-54.70252505490622;-114.16835382323985;-141.2461439426451;
96;-46.717198268245276;-55.09074672456012;-115.84103072223766;-141.57610506651858;
97;-48.47457274127181;-55.93752366647313;-117.56010337515463;-145.43522959634464;
98;-47.95969126296923;-56.25125905637039;-119.15678565117513;-142.3777200666448;
99;-49.2018024385934;-57.04201903415546;-121.43926236336557;-143.714522379017;
100;-47.70933468810744;-56.184163027289024;-118.88362090727792;-140.32476081084494;
101;-49.10667899426956;-57.65785222023074;-122.2905611794108;-142.29974061545454;
102;-50.59346994673466;-58.245295105142254;-125.39095751394746;-144.80821321283418;
103;-49.38654608335648;-58.113889379749075;-124.55393747002248;-140.0320033827279;
104;-49.90726529169717;-58.64026329740237;-126.56109105596649;-140.52729848787015;
105;-51.070680710877745;-59.09695680710878;-127.97768093807589;-142.25568942013987;
106;-52.56590639436549;-60.54514931966779;-132.22442443137354;-143.61897293817688;
107;-51.49495746345897;-59.61592469643804;-129.14135195516624;-141.3105893267362;
108;-52.19128505793553;-61.35883106555929;-133.5971145835963;-141.91630272890214;
109;-51.597367025976325;-60.316007371317504;-131.731054199379;-139.03836493070457;
110;-52.11557443263575;-61.11740463989095;-133.64812687754022;-138.54384293035116;
111;-52.973493550097196;-61.79916630903997;-136.58569472142983;-140.26902784439451;
112;-54.334426198470204;-63.01326900260016;-138.96772208618384;-143.33632267185016;
113;-53.139367126953275;-62.343930654078214;-138.1563880544266;-140.23782596622323;
114;-55.93303019210865;-63.7594097897155;-142.1985364653018;-145.17383182288643;
115;-54.2726062151314;-62.90178729205059;-141.2719088430566;-138.9219353495065;
116;-55.705791028197815;-64.29196854567945;-144.20190972660492;-141.572965314417;
117;-56.51853558175347;-64.83257390250675;-146.93749842223514;-142.79663241865046;
118;-56.55494092848308;-65.50505515866004;-148.47872541842327;-141.77304798929646;
119;-56.715260772978574;-65.1418820841643;-148.99141380354936;-141.7188170550072;
120;-55.934787822179594;-65.07483338802919;-148.2144908237195;-138.24435475727665;
121;-56.91323870951456;-65.89493348143287;-150.36476977254944;-140.4174355640825;
122;-57.608212581728225;-66.18364867593972;-151.87616123494814;-143.39925340166107;
123;-59.13622106379219;-66.95833438517658;-154.9438852144498;-145.02196564259208;
124;-58.647290662156365;-67.69230113851513;-156.9408054174135;-140.6361390200187;
125;-58.53622232600409;-67.44788642617323;-156.45818923080807;-141.17233925731452;
126;-58.650080150455665;-67.41186289854342;-157.59768257895138;-139.6700672758943;
127;-59.47784818115266;-68.30726339837932;-159.63694368010502;-143.4583280741171;
128;-59.86139966677606;-68.31492186908339;-162.1608026405473;-140.5131648701184;
129;-60.06475147047687;-68.948041047131;-162.08727879736452;-140.45172986140915;
130;-60.58777106000556;-68.53318039532478;-163.62417640673516;-141.54864249110142;
131;-60.71073574331659;-69.5344110519274;-165.79944084012826;-143.05193686416075;
132;-60.486525887966074;-69.70959028601722;-166.37683336278496;-140.09758791305885;
133;-61.384905207886305;-69.88253224951406;-167.41315035468156;-140.48419079595084;
134;-61.288620528614345;-70.30909360563452;-170.34230871178656;-139.9660717441244;
135;-62.066701587862575;-70.83347007295585;-171.21833110342564;-141.18484777724484;
136;-62.13004253654104;-70.92137050968117;-171.73717592709465;-140.9658319238634;
137;-62.76983250448085;-72.15633125489107;-176.14564663115644;-140.8863914623987;
138;-62.978943149976025;-71.50535177845657;-175.29019513795978;-140.4917798450004;
139;-62.33411064549517;-71.16671294776968;-175.03267235503498;-139.27077285234645;
140;-64.57950672758943;-73.10104321813546;-179.86574798677202;-142.53746244919597;
141;-63.02930224926161;-72.48410559664757;-179.39812372201047;-139.13314126675587;
142;-64.68607212278798;-72.66175876606165;-180.78437003004066;-142.0254588140257;
143;-64.38164239012445;-73.0480650291571;-183.02357180723502;-141.10571340216597;
144;-64.48652588796608;-73.13135523691717;-183.78453727311742;-140.8085855653447;
145;-64.60488665337137;-73.542429253023;-184.4032419912655;-139.12661247570242;
146;-65.33520561431854;-74.76513707621235;-187.75004417741653;-141.24908805190216;
147;-66.73868742584506;-74.87415431802691;-191.29874977911294;-143.53460353924217;
148;-66.45132279807135;-75.43781713073992;-193.5598130664176;-142.52325940978972;
149;-65.71219359806125;-74.81297806275718;-191.04864564663117;-139.7140963825007;
150;-66.69525471436145;-76.08365624921112;-196.05330320854267;-140.95051498245527;
151;-66.43330156766719;-76.07258665084694;-196.36382311362433;-141.53698911973342;
152;-67.36426488778936;-76.82252669578169;-199.32467876707142;-142.20763701310176;
153;-67.75682856637972;-77.0862879610229;-200.25378979123016;-141.84105912200542;
154;-67.1056723802792;-76.7083911847121;-200.25748176103806;-141.7207293060359;
155;-68.22852662004898;-77.0291697170121;-204.4757560649282;-142.53914750208267;
